design,profile,batch,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,11,0,0.00520833333333333,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,1,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,2,1e-5,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,3,1.7e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,4,2e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,5,5.5e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,6,2.5e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,7,3e-5,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,8,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,9,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,11,10,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,0,0.00520833333333333,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,1,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,2,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,3,7e-5,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,4,1.5e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,5,2.4e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,6,1.6e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,7,2e-5,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,8,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,9,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,12,10,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,13,0,0.00520833333333333,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,1,8.3e-4,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,2,0.00105,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,3,0.00276,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,4,8.3e-4,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,5,0.0011,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,6,2e-5,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,7,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,8,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,9,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,13,10,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,14,0,0.00520833333333333,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,1,9.9e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,2,0.00194,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,3,0.00641,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,4,9.6e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,5,8.3e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,6,1.7e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,7,2e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,8,0,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,9,2e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,14,10,1e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,0,0.00520833333333333,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,1,0.03667,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,2,0.0063,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,3,0.038,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,4,0.00456,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,5,0.00896,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,6,0.00113,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,7,3e-5,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,8,0,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,9,0,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,15,10,3e-5,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,0,0.00520833333333333,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,1,4.9e-4,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,2,7.3e-4,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,3,0.0174,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,4,0.0051,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,5,0.00709,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,6,0.00135,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,7,2e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,8,2e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,9,5e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,16,10,7e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,17,0,0.00520833333333333,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,1,8.2e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
