case,design,arm,batch,quantity,value
Case 1: Clear winner,Thompson sampling,alt3,8,posterior_prob,0.0444
Case 1: Clear winner,Thompson sampling,alt4,8,posterior_prob,0.0064
Case 1: Clear winner,Thompson sampling,alt5,8,posterior_prob,0.0156
Case 1: Clear winner,Thompson sampling,alt6,8,posterior_prob,0.026
Case 1: Clear winner,Thompson sampling,alt7,8,posterior_prob,0.0196
Case 1: Clear winner,Thompson sampling,alt8,8,posterior_prob,0.0316
Case 1: Clear winner,Thompson sampling,best,9,posterior_prob,0.8932
Case 1: Clear winner,Thompson sampling,alt1,9,posterior_prob,0.0052
Case 1: Clear winner,Thompson sampling,alt2,9,posterior_prob,0.0208
Case 1: Clear winner,Thompson sampling,alt3,9,posterior_prob,0.0172
Case 1: Clear winner,Thompson sampling,alt4,9,posterior_prob,0.0034
Case 1: Clear winner,Thompson sampling,alt5,9,posterior_prob,0.0274
Case 1: Clear winner,Thompson sampling,alt6,9,posterior_prob,0.0114
Case 1: Clear winner,Thompson sampling,alt7,9,posterior_prob,0.0124
Case 1: Clear winner,Thompson sampling,alt8,9,posterior_prob,0.009
Case 1: Clear winner,Thompson sampling,best,10,posterior_prob,0.8954
Case 1: Clear winner,Thompson sampling,alt1,10,posterior_prob,0.0082
Case 1: Clear winner,Thompson sampling,alt2,10,posterior_prob,0.0168
Case 1: Clear winner,Thompson sampling,alt3,10,posterior_prob,0.0168
Case 1: Clear winner,Thompson sampling,alt4,10,posterior_prob,0.0048
Case 1: Clear winner,Thompson sampling,alt5,10,posterior_prob,0.0198
Case 1: Clear winner,Thompson sampling,alt6,10,posterior_prob,0.0152
Case 1: Clear winner,Thompson sampling,alt7,10,posterior_prob,0.0156
Case 1: Clear winner,Thompson sampling,alt8,10,posterior_prob,0.0074
Case 1: Clear winner,Thompson sampling,best,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt1,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt2,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt3,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt4,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt5,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt6,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt7,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,alt8,0,cumulative_n,0
Case 1: Clear winner,Thompson sampling,best,1,cumulative_n,14
Case 1: Clear winner,Thompson sampling,alt1,1,cumulative_n,12
Case 1: Clear winner,Thompson sampling,alt2,1,cumulative_n,13
Case 1: Clear winner,Thompson sampling,alt3,1,cumulative_n,15
Case 1: Clear winner,Thompson sampling,alt4,1,cumulative_n,6
Case 1: Clear winner,Thompson sampling,alt5,1,cumulative_n,8
Case 1: Clear winner,Thompson sampling,alt6,1,cumulative_n,7
Case 1: Clear winner,Thompson sampling,alt7,1,cumulative_n,14
Case 1: Clear winner,Thompson sampling,alt8,1,cumulative_n,11
Case 1: Clear winner,Thompson sampling,best,2,cumulative_n,26
Case 1: Clear winner,Thompson sampling,alt1,2,cumulative_n,78
Case 1: Clear winner,Thompson sampling,alt2,2,cumulative_n,13
Case 1: Clear winner,Thompson sampling,alt3,2,cumulative_n,15
Case 1: Clear winner,Thompson sampling,alt4,2,cumulative_n,6
Case 1: Clear winner,Thompson sampling,alt5,2,cumulative_n,13
Case 1: Clear winner,Thompson sampling,alt6,2,cumulative_n,23
Case 1: Clear winner,Thompson sampling,alt7,2,cumulative_n,14
Case 1: Clear winner,Thompson sampling,alt8,2,cumulative_n,12
Case 1: Clear winner,Thompson sampling,best,3,cumulative_n,52
Case 1: Clear winner,Thompson sampling,alt1,3,cumulative_n,80
Case 1: Clear winner,Thompson sampling,alt2,3,cumulative_n,15
Case 1: Clear winner,Thompson sampling,alt3,3,cumulative_n,22
Case 1: Clear winner,Thompson sampling,alt4,3,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt5,3,cumulative_n,32
Case 1: Clear winner,Thompson sampling,alt6,3,cumulative_n,54
Case 1: Clear winner,Thompson sampling,alt7,3,cumulative_n,14
Case 1: Clear winner,Thompson sampling,alt8,3,cumulative_n,14
Case 1: Clear winner,Thompson sampling,best,4,cumulative_n,96
Case 1: Clear winner,Thompson sampling,alt1,4,cumulative_n,83
Case 1: Clear winner,Thompson sampling,alt2,4,cumulative_n,39
Case 1: Clear winner,Thompson sampling,alt3,4,cumulative_n,30
Case 1: Clear winner,Thompson sampling,alt4,4,cumulative_n,18
Case 1: Clear winner,Thompson sampling,alt5,4,cumulative_n,32
Case 1: Clear winner,Thompson sampling,alt6,4,cumulative_n,64
Case 1: Clear winner,Thompson sampling,alt7,4,cumulative_n,16
Case 1: Clear winner,Thompson sampling,alt8,4,cumulative_n,22
Case 1: Clear winner,Thompson sampling,best,5,cumulative_n,132
Case 1: Clear winner,Thompson sampling,alt1,5,cumulative_n,83
Case 1: Clear winner,Thompson sampling,alt2,5,cumulative_n,39
Case 1: Clear winner,Thompson sampling,alt3,5,cumulative_n,49
Case 1: Clear winner,Thompson sampling,alt4,5,cumulative_n,18
Case 1: Clear winner,Thompson sampling,alt5,5,cumulative_n,34
Case 1: Clear winner,Thompson sampling,alt6,5,cumulative_n,80
Case 1: Clear winner,Thompson sampling,alt7,5,cumulative_n,16
Case 1: Clear winner,Thompson sampling,alt8,5,cumulative_n,49
Case 1: Clear winner,Thompson sampling,best,6,cumulative_n,180
Case 1: Clear winner,Thompson sampling,alt1,6,cumulative_n,85
Case 1: Clear winner,Thompson sampling,alt2,6,cumulative_n,41
Case 1: Clear winner,Thompson sampling,alt3,6,cumulative_n,59
Case 1: Clear winner,Thompson sampling,alt4,6,cumulative_n,19
Case 1: Clear winner,Thompson sampling,alt5,6,cumulative_n,37
Case 1: Clear winner,Thompson sampling,alt6,6,cumulative_n,87
Case 1: Clear winner,Thompson sampling,alt7,6,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt8,6,cumulative_n,75
Case 1: Clear winner,Thompson sampling,best,7,cumulative_n,245
Case 1: Clear winner,Thompson sampling,alt1,7,cumulative_n,87
Case 1: Clear winner,Thompson sampling,alt2,7,cumulative_n,42
Case 1: Clear winner,Thompson sampling,alt3,7,cumulative_n,64
Case 1: Clear winner,Thompson sampling,alt4,7,cumulative_n,21
Case 1: Clear winner,Thompson sampling,alt5,7,cumulative_n,41
Case 1: Clear winner,Thompson sampling,alt6,7,cumulative_n,90
Case 1: Clear winner,Thompson sampling,alt7,7,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt8,7,cumulative_n,93
Case 1: Clear winner,Thompson sampling,best,8,cumulative_n,319
