case,design,arm,batch,quantity,value
Case 1: Clear winner,Static,alt3,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt4,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt5,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt6,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt7,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,alt8,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Static,best,1,posterior_prob,0.0636
Case 1: Clear winner,Static,alt1,1,posterior_prob,0.0314
Case 1: Clear winner,Static,alt2,1,posterior_prob,0.2792
Case 1: Clear winner,Static,alt3,1,posterior_prob,0.0906
Case 1: Clear winner,Static,alt4,1,posterior_prob,0.0062
Case 1: Clear winner,Static,alt5,1,posterior_prob,0.0858
Case 1: Clear winner,Static,alt6,1,posterior_prob,0.1352
Case 1: Clear winner,Static,alt7,1,posterior_prob,0.295
Case 1: Clear winner,Static,alt8,1,posterior_prob,0.013
Case 1: Clear winner,Static,best,2,posterior_prob,0.2894
Case 1: Clear winner,Static,alt1,2,posterior_prob,0.002
Case 1: Clear winner,Static,alt2,2,posterior_prob,0.0482
Case 1: Clear winner,Static,alt3,2,posterior_prob,0.0016
Case 1: Clear winner,Static,alt4,2,posterior_prob,0.0112
Case 1: Clear winner,Static,alt5,2,posterior_prob,0.0378
Case 1: Clear winner,Static,alt6,2,posterior_prob,0.1036
Case 1: Clear winner,Static,alt7,2,posterior_prob,0.5034
Case 1: Clear winner,Static,alt8,2,posterior_prob,0.0028
Case 1: Clear winner,Static,best,3,posterior_prob,0.1594
Case 1: Clear winner,Static,alt1,3,posterior_prob,8e-4
Case 1: Clear winner,Static,alt2,3,posterior_prob,0.1338
Case 1: Clear winner,Static,alt3,3,posterior_prob,0.0022
Case 1: Clear winner,Static,alt4,3,posterior_prob,0.0076
Case 1: Clear winner,Static,alt5,3,posterior_prob,0.0436
Case 1: Clear winner,Static,alt6,3,posterior_prob,0.2322
Case 1: Clear winner,Static,alt7,3,posterior_prob,0.4172
Case 1: Clear winner,Static,alt8,3,posterior_prob,0.0032
Case 1: Clear winner,Static,best,4,posterior_prob,0.2038
Case 1: Clear winner,Static,alt1,4,posterior_prob,0.0152
Case 1: Clear winner,Static,alt2,4,posterior_prob,0.0396
Case 1: Clear winner,Static,alt3,4,posterior_prob,6e-4
Case 1: Clear winner,Static,alt4,4,posterior_prob,0.0092
Case 1: Clear winner,Static,alt5,4,posterior_prob,0.0864
Case 1: Clear winner,Static,alt6,4,posterior_prob,0.1164
Case 1: Clear winner,Static,alt7,4,posterior_prob,0.5274
Case 1: Clear winner,Static,alt8,4,posterior_prob,0.0014
Case 1: Clear winner,Static,best,5,posterior_prob,0.3196
Case 1: Clear winner,Static,alt1,5,posterior_prob,0.0276
Case 1: Clear winner,Static,alt2,5,posterior_prob,0.0886
Case 1: Clear winner,Static,alt3,5,posterior_prob,6e-4
Case 1: Clear winner,Static,alt4,5,posterior_prob,0.007
Case 1: Clear winner,Static,alt5,5,posterior_prob,0.0636
Case 1: Clear winner,Static,alt6,5,posterior_prob,0.0422
Case 1: Clear winner,Static,alt7,5,posterior_prob,0.4496
Case 1: Clear winner,Static,alt8,5,posterior_prob,0.0012
Case 1: Clear winner,Static,best,6,posterior_prob,0.3092
Case 1: Clear winner,Static,alt1,6,posterior_prob,0.0132
Case 1: Clear winner,Static,alt2,6,posterior_prob,0.1362
Case 1: Clear winner,Static,alt3,6,posterior_prob,2e-4
Case 1: Clear winner,Static,alt4,6,posterior_prob,0.0336
Case 1: Clear winner,Static,alt5,6,posterior_prob,0.0326
Case 1: Clear winner,Static,alt6,6,posterior_prob,0.1108
Case 1: Clear winner,Static,alt7,6,posterior_prob,0.3562
Case 1: Clear winner,Static,alt8,6,posterior_prob,0.008
Case 1: Clear winner,Static,best,7,posterior_prob,0.3226
Case 1: Clear winner,Static,alt1,7,posterior_prob,0.051
Case 1: Clear winner,Static,alt2,7,posterior_prob,0.1194
Case 1: Clear winner,Static,alt3,7,posterior_prob,2e-4
Case 1: Clear winner,Static,alt4,7,posterior_prob,0.0386
Case 1: Clear winner,Static,alt5,7,posterior_prob,0.0502
Case 1: Clear winner,Static,alt6,7,posterior_prob,0.1782
Case 1: Clear winner,Static,alt7,7,posterior_prob,0.2378
Case 1: Clear winner,Static,alt8,7,posterior_prob,0.002
Case 1: Clear winner,Static,best,8,posterior_prob,0.308
Case 1: Clear winner,Static,alt1,8,posterior_prob,0.1022
Case 1: Clear winner,Static,alt2,8,posterior_prob,0.0848
Case 1: Clear winner,Static,alt3,8,posterior_prob,0
Case 1: Clear winner,Static,alt4,8,posterior_prob,0.0336
Case 1: Clear winner,Static,alt5,8,posterior_prob,0.0468
Case 1: Clear winner,Static,alt6,8,posterior_prob,0.1882
Case 1: Clear winner,Static,alt7,8,posterior_prob,0.2354
Case 1: Clear winner,Static,alt8,8,posterior_prob,0.001
Case 1: Clear winner,Static,best,9,posterior_prob,0.4472
Case 1: Clear winner,Static,alt1,9,posterior_prob,0.0356
Case 1: Clear winner,Static,alt2,9,posterior_prob,0.0874
Case 1: Clear winner,Static,alt3,9,posterior_prob,0
Case 1: Clear winner,Static,alt4,9,posterior_prob,0.069
Case 1: Clear winner,Static,alt5,9,posterior_prob,0.0348
Case 1: Clear winner,Static,alt6,9,posterior_prob,0.2132
Case 1: Clear winner,Static,alt7,9,posterior_prob,0.1098
Case 1: Clear winner,Static,alt8,9,posterior_prob,0.003
Case 1: Clear winner,Static,best,10,posterior_prob,0.607
Case 1: Clear winner,Static,alt1,10,posterior_prob,0.0306
Case 1: Clear winner,Static,alt2,10,posterior_prob,0.0542
Case 1: Clear winner,Static,alt3,10,posterior_prob,0
Case 1: Clear winner,Static,alt4,10,posterior_prob,0.0176
Case 1: Clear winner,Static,alt5,10,posterior_prob,0.0426
Case 1: Clear winner,Static,alt6,10,posterior_prob,0.1124
Case 1: Clear winner,Static,alt7,10,posterior_prob,0.1318
Case 1: Clear winner,Static,alt8,10,posterior_prob,0.0038
Case 1: Clear winner,Static,best,0,cumulative_n,0
Case 1: Clear winner,Static,alt1,0,cumulative_n,0
Case 1: Clear winner,Static,alt2,0,cumulative_n,0
Case 1: Clear winner,Static,alt3,0,cumulative_n,0
Case 1: Clear winner,Static,alt4,0,cumulative_n,0
Case 1: Clear winner,Static,alt5,0,cumulative_n,0
Case 1: Clear winner,Static,alt6,0,cumulative_n,0
Case 1: Clear winner,Static,alt7,0,cumulative_n,0
Case 1: Clear winner,Static,alt8,0,cumulative_n,0
Case 1: Clear winner,Static,best,1,cumulative_n,6
Case 1: Clear winner,Static,alt1,1,cumulative_n,20
Case 1: Clear winner,Static,alt2,1,cumulative_n,10
Case 1: Clear winner,Static,alt3,1,cumulative_n,5
Case 1: Clear winner,Static,alt4,1,cumulative_n,14
Case 1: Clear winner,Static,alt5,1,cumulative_n,15
Case 1: Clear winner,Static,alt6,1,cumulative_n,13
Case 1: Clear winner,Static,alt7,1,cumulative_n,6
Case 1: Clear winner,Static,alt8,1,cumulative_n,11
Case 1: Clear winner,Static,best,2,cumulative_n,18
Case 1: Clear winner,Static,alt1,2,cumulative_n,32
Case 1: Clear winner,Static,alt2,2,cumulative_n,18
Case 1: Clear winner,Static,alt3,2,cumulative_n,19
Case 1: Clear winner,Static,alt4,2,cumulative_n,25
Case 1: Clear winner,Static,alt5,2,cumulative_n,25
Case 1: Clear winner,Static,alt6,2,cumulative_n,24
Case 1: Clear winner,Static,alt7,2,cumulative_n,15
Case 1: Clear winner,Static,alt8,2,cumulative_n,24
Case 1: Clear winner,Static,best,3,cumulative_n,26
Case 1: Clear winner,Static,alt1,3,cumulative_n,43
Case 1: Clear winner,Static,alt2,3,cumulative_n,37
Case 1: Clear winner,Static,alt3,3,cumulative_n,32
Case 1: Clear winner,Static,alt4,3,cumulative_n,38
Case 1: Clear winner,Static,alt5,3,cumulative_n,39
Case 1: Clear winner,Static,alt6,3,cumulative_n,33
Case 1: Clear winner,Static,alt7,3,cumulative_n,24
Case 1: Clear winner,Static,alt8,3,cumulative_n,28
Case 1: Clear winner,Static,best,4,cumulative_n,39
Case 1: Clear winner,Static,alt1,4,cumulative_n,54
Case 1: Clear winner,Static,alt2,4,cumulative_n,54
Case 1: Clear winner,Static,alt3,4,cumulative_n,47
Case 1: Clear winner,Static,alt4,4,cumulative_n,46
Case 1: Clear winner,Static,alt5,4,cumulative_n,47
Case 1: Clear winner,Static,alt6,4,cumulative_n,44
Case 1: Clear winner,Static,alt7,4,cumulative_n,30
Case 1: Clear winner,Static,alt8,4,cumulative_n,39
Case 1: Clear winner,Static,best,5,cumulative_n,48
Case 1: Clear winner,Static,alt1,5,cumulative_n,68
Case 1: Clear winner,Static,alt2,5,cumulative_n,68
Case 1: Clear winner,Static,alt3,5,cumulative_n,58
Case 1: Clear winner,Static,alt4,5,cumulative_n,57
Case 1: Clear winner,Static,alt5,5,cumulative_n,59
Case 1: Clear winner,Static,alt6,5,cumulative_n,56
Case 1: Clear winner,Static,alt7,5,cumulative_n,34
Case 1: Clear winner,Static,alt8,5,cumulative_n,52
Case 1: Clear winner,Static,best,6,cumulative_n,63
Case 1: Clear winner,Static,alt1,6,cumulative_n,80
Case 1: Clear winner,Static,alt2,6,cumulative_n,80
Case 1: Clear winner,Static,alt3,6,cumulative_n,64
Case 1: Clear winner,Static,alt4,6,cumulative_n,69
Case 1: Clear winner,Static,alt5,6,cumulative_n,76
Case 1: Clear winner,Static,alt6,6,cumulative_n,63
Case 1: Clear winner,Static,alt7,6,cumulative_n,44
Case 1: Clear winner,Static,alt8,6,cumulative_n,61
Case 1: Clear winner,Static,best,7,cumulative_n,73
Case 1: Clear winner,Static,alt1,7,cumulative_n,90
Case 1: Clear winner,Static,alt2,7,cumulative_n,86
Case 1: Clear winner,Static,alt3,7,cumulative_n,76
Case 1: Clear winner,Static,alt4,7,cumulative_n,80
Case 1: Clear winner,Static,alt5,7,cumulative_n,91
Case 1: Clear winner,Static,alt6,7,cumulative_n,75
Case 1: Clear winner,Static,alt7,7,cumulative_n,60
Case 1: Clear winner,Static,alt8,7,cumulative_n,69
Case 1: Clear winner,Static,best,8,cumulative_n,80
Case 1: Clear winner,Static,alt1,8,cumulative_n,102
Case 1: Clear winner,Static,alt2,8,cumulative_n,99
Case 1: Clear winner,Static,alt3,8,cumulative_n,88
Case 1: Clear winner,Static,alt4,8,cumulative_n,89
Case 1: Clear winner,Static,alt5,8,cumulative_n,108
Case 1: Clear winner,Static,alt6,8,cumulative_n,87
Case 1: Clear winner,Static,alt7,8,cumulative_n,72
Case 1: Clear winner,Static,alt8,8,cumulative_n,75
Case 1: Clear winner,Static,best,9,cumulative_n,91
Case 1: Clear winner,Static,alt1,9,cumulative_n,116
Case 1: Clear winner,Static,alt2,9,cumulative_n,104
Case 1: Clear winner,Static,alt3,9,cumulative_n,98
Case 1: Clear winner,Static,alt4,9,cumulative_n,102
Case 1: Clear winner,Static,alt5,9,cumulative_n,119
Case 1: Clear winner,Static,alt6,9,cumulative_n,103
Case 1: Clear winner,Static,alt7,9,cumulative_n,81
Case 1: Clear winner,Static,alt8,9,cumulative_n,86
Case 1: Clear winner,Static,best,10,cumulative_n,100
Case 1: Clear winner,Static,alt1,10,cumulative_n,127
Case 1: Clear winner,Static,alt2,10,cumulative_n,115
Case 1: Clear winner,Static,alt3,10,cumulative_n,108
Case 1: Clear winner,Static,alt4,10,cumulative_n,114
Case 1: Clear winner,Static,alt5,10,cumulative_n,125
Case 1: Clear winner,Static,alt6,10,cumulative_n,123
Case 1: Clear winner,Static,alt7,10,cumulative_n,95
Case 1: Clear winner,Static,alt8,10,cumulative_n,93
Case 2: No clear winner,Thompson sampling,best,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt1,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt2,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt3,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt4,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt5,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt6,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt7,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt8,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Thompson sampling,best,1,posterior_prob,0.014
Case 2: No clear winner,Thompson sampling,alt1,1,posterior_prob,0.0102
Case 2: No clear winner,Thompson sampling,alt2,1,posterior_prob,0.133
Case 2: No clear winner,Thompson sampling,alt3,1,posterior_prob,0.04
Case 2: No clear winner,Thompson sampling,alt4,1,posterior_prob,0.2326
Case 2: No clear winner,Thompson sampling,alt5,1,posterior_prob,0.1298
Case 2: No clear winner,Thompson sampling,alt6,1,posterior_prob,0.1188
Case 2: No clear winner,Thompson sampling,alt7,1,posterior_prob,0.0104
Case 2: No clear winner,Thompson sampling,alt8,1,posterior_prob,0.3112
Case 2: No clear winner,Thompson sampling,best,2,posterior_prob,0.065
Case 2: No clear winner,Thompson sampling,alt1,2,posterior_prob,0.0612
Case 2: No clear winner,Thompson sampling,alt2,2,posterior_prob,0.0794
Case 2: No clear winner,Thompson sampling,alt3,2,posterior_prob,0.1034
Case 2: No clear winner,Thompson sampling,alt4,2,posterior_prob,0.191
Case 2: No clear winner,Thompson sampling,alt5,2,posterior_prob,0.1864
Case 2: No clear winner,Thompson sampling,alt6,2,posterior_prob,0.096
Case 2: No clear winner,Thompson sampling,alt7,2,posterior_prob,0.189
Case 2: No clear winner,Thompson sampling,alt8,2,posterior_prob,0.0286
Case 2: No clear winner,Thompson sampling,best,3,posterior_prob,0.0634
Case 2: No clear winner,Thompson sampling,alt1,3,posterior_prob,0.0236
Case 2: No clear winner,Thompson sampling,alt2,3,posterior_prob,0.0504
Case 2: No clear winner,Thompson sampling,alt3,3,posterior_prob,0.1764
Case 2: No clear winner,Thompson sampling,alt4,3,posterior_prob,0.0258
Case 2: No clear winner,Thompson sampling,alt5,3,posterior_prob,0.3626
Case 2: No clear winner,Thompson sampling,alt6,3,posterior_prob,0.129
Case 2: No clear winner,Thompson sampling,alt7,3,posterior_prob,0.1178
Case 2: No clear winner,Thompson sampling,alt8,3,posterior_prob,0.051
Case 2: No clear winner,Thompson sampling,best,4,posterior_prob,0.1312
Case 2: No clear winner,Thompson sampling,alt1,4,posterior_prob,0.0212
Case 2: No clear winner,Thompson sampling,alt2,4,posterior_prob,0.1482
Case 2: No clear winner,Thompson sampling,alt3,4,posterior_prob,0.125
Case 2: No clear winner,Thompson sampling,alt4,4,posterior_prob,0.0526
Case 2: No clear winner,Thompson sampling,alt5,4,posterior_prob,0.276
Case 2: No clear winner,Thompson sampling,alt6,4,posterior_prob,0.1686
Case 2: No clear winner,Thompson sampling,alt7,4,posterior_prob,0.0194
Case 2: No clear winner,Thompson sampling,alt8,4,posterior_prob,0.0578
Case 2: No clear winner,Thompson sampling,best,5,posterior_prob,0.1666
Case 2: No clear winner,Thompson sampling,alt1,5,posterior_prob,0.0202
Case 2: No clear winner,Thompson sampling,alt2,5,posterior_prob,0.0542
Case 2: No clear winner,Thompson sampling,alt3,5,posterior_prob,0.1032
Case 2: No clear winner,Thompson sampling,alt4,5,posterior_prob,0.2136
Case 2: No clear winner,Thompson sampling,alt5,5,posterior_prob,0.2138
Case 2: No clear winner,Thompson sampling,alt6,5,posterior_prob,0.0452
Case 2: No clear winner,Thompson sampling,alt7,5,posterior_prob,0.0362
Case 2: No clear winner,Thompson sampling,alt8,5,posterior_prob,0.147
Case 2: No clear winner,Thompson sampling,best,6,posterior_prob,0.1362
Case 2: No clear winner,Thompson sampling,alt1,6,posterior_prob,0.0906
Case 2: No clear winner,Thompson sampling,alt2,6,posterior_prob,0.0594
Case 2: No clear winner,Thompson sampling,alt3,6,posterior_prob,0.0894
Case 2: No clear winner,Thompson sampling,alt4,6,posterior_prob,0.1988
Case 2: No clear winner,Thompson sampling,alt5,6,posterior_prob,0.1814
Case 2: No clear winner,Thompson sampling,alt6,6,posterior_prob,0.0556
Case 2: No clear winner,Thompson sampling,alt7,6,posterior_prob,0.0846
Case 2: No clear winner,Thompson sampling,alt8,6,posterior_prob,0.104
Case 2: No clear winner,Thompson sampling,best,7,posterior_prob,0.1072
Case 2: No clear winner,Thompson sampling,alt1,7,posterior_prob,0.0994
Case 2: No clear winner,Thompson sampling,alt2,7,posterior_prob,0.2214
Case 2: No clear winner,Thompson sampling,alt3,7,posterior_prob,0.1144
Case 2: No clear winner,Thompson sampling,alt4,7,posterior_prob,0.1362
Case 2: No clear winner,Thompson sampling,alt5,7,posterior_prob,0.1264
Case 2: No clear winner,Thompson sampling,alt6,7,posterior_prob,0.0552
Case 2: No clear winner,Thompson sampling,alt7,7,posterior_prob,0.0888
Case 2: No clear winner,Thompson sampling,alt8,7,posterior_prob,0.051
Case 2: No clear winner,Thompson sampling,best,8,posterior_prob,0.1608
Case 2: No clear winner,Thompson sampling,alt1,8,posterior_prob,0.0572
Case 2: No clear winner,Thompson sampling,alt2,8,posterior_prob,0.2226
Case 2: No clear winner,Thompson sampling,alt3,8,posterior_prob,0.0278
Case 2: No clear winner,Thompson sampling,alt4,8,posterior_prob,0.0804
Case 2: No clear winner,Thompson sampling,alt5,8,posterior_prob,0.2066
Case 2: No clear winner,Thompson sampling,alt6,8,posterior_prob,0.028
Case 2: No clear winner,Thompson sampling,alt7,8,posterior_prob,0.1656
Case 2: No clear winner,Thompson sampling,alt8,8,posterior_prob,0.051
Case 2: No clear winner,Thompson sampling,best,9,posterior_prob,0.097
Case 2: No clear winner,Thompson sampling,alt1,9,posterior_prob,0.0244
Case 2: No clear winner,Thompson sampling,alt2,9,posterior_prob,0.3592
Case 2: No clear winner,Thompson sampling,alt3,9,posterior_prob,0.0236
Case 2: No clear winner,Thompson sampling,alt4,9,posterior_prob,0.0844
Case 2: No clear winner,Thompson sampling,alt5,9,posterior_prob,0.164
Case 2: No clear winner,Thompson sampling,alt6,9,posterior_prob,0.0258
Case 2: No clear winner,Thompson sampling,alt7,9,posterior_prob,0.1954
Case 2: No clear winner,Thompson sampling,alt8,9,posterior_prob,0.0262
Case 2: No clear winner,Thompson sampling,best,10,posterior_prob,0.132
Case 2: No clear winner,Thompson sampling,alt1,10,posterior_prob,0.0318
Case 2: No clear winner,Thompson sampling,alt2,10,posterior_prob,0.1362
Case 2: No clear winner,Thompson sampling,alt3,10,posterior_prob,0.0308
Case 2: No clear winner,Thompson sampling,alt4,10,posterior_prob,0.066
Case 2: No clear winner,Thompson sampling,alt5,10,posterior_prob,0.1852
Case 2: No clear winner,Thompson sampling,alt6,10,posterior_prob,0.1092
Case 2: No clear winner,Thompson sampling,alt7,10,posterior_prob,0.2424
Case 2: No clear winner,Thompson sampling,alt8,10,posterior_prob,0.0664
Case 2: No clear winner,Thompson sampling,best,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt1,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt2,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt3,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt4,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt5,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt6,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt7,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,alt8,0,cumulative_n,0
Case 2: No clear winner,Thompson sampling,best,1,cumulative_n,16
Case 2: No clear winner,Thompson sampling,alt1,1,cumulative_n,10
Case 2: No clear winner,Thompson sampling,alt2,1,cumulative_n,8
Case 2: No clear winner,Thompson sampling,alt3,1,cumulative_n,12
Case 2: No clear winner,Thompson sampling,alt4,1,cumulative_n,10
Case 2: No clear winner,Thompson sampling,alt5,1,cumulative_n,8
Case 2: No clear winner,Thompson sampling,alt6,1,cumulative_n,17
Case 2: No clear winner,Thompson sampling,alt7,1,cumulative_n,10
Case 2: No clear winner,Thompson sampling,alt8,1,cumulative_n,9
Case 2: No clear winner,Thompson sampling,best,2,cumulative_n,17
Case 2: No clear winner,Thompson sampling,alt1,2,cumulative_n,10
Case 2: No clear winner,Thompson sampling,alt2,2,cumulative_n,24
Case 2: No clear winner,Thompson sampling,alt3,2,cumulative_n,15
Case 2: No clear winner,Thompson sampling,alt4,2,cumulative_n,30
Case 2: No clear winner,Thompson sampling,alt5,2,cumulative_n,18
Case 2: No clear winner,Thompson sampling,alt6,2,cumulative_n,29
Case 2: No clear winner,Thompson sampling,alt7,2,cumulative_n,12
Case 2: No clear winner,Thompson sampling,alt8,2,cumulative_n,45
Case 2: No clear winner,Thompson sampling,best,3,cumulative_n,21
Case 2: No clear winner,Thompson sampling,alt1,3,cumulative_n,17
Case 2: No clear winner,Thompson sampling,alt2,3,cumulative_n,31
Case 2: No clear winner,Thompson sampling,alt3,3,cumulative_n,22
Case 2: No clear winner,Thompson sampling,alt4,3,cumulative_n,52
Case 2: No clear winner,Thompson sampling,alt5,3,cumulative_n,40
Case 2: No clear winner,Thompson sampling,alt6,3,cumulative_n,38
Case 2: No clear winner,Thompson sampling,alt7,3,cumulative_n,32
Case 2: No clear winner,Thompson sampling,alt8,3,cumulative_n,47
Case 2: No clear winner,Thompson sampling,best,4,cumulative_n,31
Case 2: No clear winner,Thompson sampling,alt1,4,cumulative_n,19
Case 2: No clear winner,Thompson sampling,alt2,4,cumulative_n,37
Case 2: No clear winner,Thompson sampling,alt3,4,cumulative_n,39
Case 2: No clear winner,Thompson sampling,alt4,4,cumulative_n,55
Case 2: No clear winner,Thompson sampling,alt5,4,cumulative_n,69
Case 2: No clear winner,Thompson sampling,alt6,4,cumulative_n,49
Case 2: No clear winner,Thompson sampling,alt7,4,cumulative_n,47
Case 2: No clear winner,Thompson sampling,alt8,4,cumulative_n,54
Case 2: No clear winner,Thompson sampling,best,5,cumulative_n,50
Case 2: No clear winner,Thompson sampling,alt1,5,cumulative_n,19
Case 2: No clear winner,Thompson sampling,alt2,5,cumulative_n,55
Case 2: No clear winner,Thompson sampling,alt3,5,cumulative_n,49
Case 2: No clear winner,Thompson sampling,alt4,5,cumulative_n,61
Case 2: No clear winner,Thompson sampling,alt5,5,cumulative_n,93
Case 2: No clear winner,Thompson sampling,alt6,5,cumulative_n,64
Case 2: No clear winner,Thompson sampling,alt7,5,cumulative_n,50
Case 2: No clear winner,Thompson sampling,alt8,5,cumulative_n,59
Case 2: No clear winner,Thompson sampling,best,6,cumulative_n,68
Case 2: No clear winner,Thompson sampling,alt1,6,cumulative_n,23
Case 2: No clear winner,Thompson sampling,alt2,6,cumulative_n,62
Case 2: No clear winner,Thompson sampling,alt3,6,cumulative_n,58
Case 2: No clear winner,Thompson sampling,alt4,6,cumulative_n,79
Case 2: No clear winner,Thompson sampling,alt5,6,cumulative_n,117
Case 2: No clear winner,Thompson sampling,alt6,6,cumulative_n,71
Case 2: No clear winner,Thompson sampling,alt7,6,cumulative_n,50
Case 2: No clear winner,Thompson sampling,alt8,6,cumulative_n,72
Case 2: No clear winner,Thompson sampling,best,7,cumulative_n,84
Case 2: No clear winner,Thompson sampling,alt1,7,cumulative_n,32
Case 2: No clear winner,Thompson sampling,alt2,7,cumulative_n,65
Case 2: No clear winner,Thompson sampling,alt3,7,cumulative_n,66
Case 2: No clear winner,Thompson sampling,alt4,7,cumulative_n,104
Case 2: No clear winner,Thompson sampling,alt5,7,cumulative_n,130
Case 2: No clear winner,Thompson sampling,alt6,7,cumulative_n,74
Case 2: No clear winner,Thompson sampling,alt7,7,cumulative_n,60
Case 2: No clear winner,Thompson sampling,alt8,7,cumulative_n,85
Case 2: No clear winner,Thompson sampling,best,8,cumulative_n,94
Case 2: No clear winner,Thompson sampling,alt1,8,cumulative_n,38
Case 2: No clear winner,Thompson sampling,alt2,8,cumulative_n,81
Case 2: No clear winner,Thompson sampling,alt3,8,cumulative_n,83
Case 2: No clear winner,Thompson sampling,alt4,8,cumulative_n,113
Case 2: No clear winner,Thompson sampling,alt5,8,cumulative_n,144
Case 2: No clear winner,Thompson sampling,alt6,8,cumulative_n,83
Case 2: No clear winner,Thompson sampling,alt7,8,cumulative_n,69
Case 2: No clear winner,Thompson sampling,alt8,8,cumulative_n,95
Case 2: No clear winner,Thompson sampling,best,9,cumulative_n,110
Case 2: No clear winner,Thompson sampling,alt1,9,cumulative_n,45
Case 2: No clear winner,Thompson sampling,alt2,9,cumulative_n,102
Case 2: No clear winner,Thompson sampling,alt3,9,cumulative_n,87
Case 2: No clear winner,Thompson sampling,alt4,9,cumulative_n,121
Case 2: No clear winner,Thompson sampling,alt5,9,cumulative_n,164
Case 2: No clear winner,Thompson sampling,alt6,9,cumulative_n,85
Case 2: No clear winner,Thompson sampling,alt7,9,cumulative_n,83
Case 2: No clear winner,Thompson sampling,alt8,9,cumulative_n,103
Case 2: No clear winner,Thompson sampling,best,10,cumulative_n,120
Case 2: No clear winner,Thompson sampling,alt1,10,cumulative_n,46
Case 2: No clear winner,Thompson sampling,alt2,10,cumulative_n,137
Case 2: No clear winner,Thompson sampling,alt3,10,cumulative_n,89
Case 2: No clear winner,Thompson sampling,alt4,10,cumulative_n,133
Case 2: No clear winner,Thompson sampling,alt5,10,cumulative_n,179
Case 2: No clear winner,Thompson sampling,alt6,10,cumulative_n,89
Case 2: No clear winner,Thompson sampling,alt7,10,cumulative_n,101
Case 2: No clear winner,Thompson sampling,alt8,10,cumulative_n,106
Case 2: No clear winner,Static,best,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt1,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt2,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt3,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt4,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt5,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt6,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt7,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,alt8,0,posterior_prob,0.1111111111111111
Case 2: No clear winner,Static,best,1,posterior_prob,0.1812
Case 2: No clear winner,Static,alt1,1,posterior_prob,0.01
Case 2: No clear winner,Static,alt2,1,posterior_prob,0.216
Case 2: No clear winner,Static,alt3,1,posterior_prob,0.0224
Case 2: No clear winner,Static,alt4,1,posterior_prob,0.2728
Case 2: No clear winner,Static,alt5,1,posterior_prob,0.005
Case 2: No clear winner,Static,alt6,1,posterior_prob,0.051
Case 2: No clear winner,Static,alt7,1,posterior_prob,0.1834
Case 2: No clear winner,Static,alt8,1,posterior_prob,0.0582
Case 2: No clear winner,Static,best,2,posterior_prob,0.1222
Case 2: No clear winner,Static,alt1,2,posterior_prob,0.0466
Case 2: No clear winner,Static,alt2,2,posterior_prob,0.0618
Case 2: No clear winner,Static,alt3,2,posterior_prob,0.0186
Case 2: No clear winner,Static,alt4,2,posterior_prob,0.333
Case 2: No clear winner,Static,alt5,2,posterior_prob,4e-4
Case 2: No clear winner,Static,alt6,2,posterior_prob,0.0062
Case 2: No clear winner,Static,alt7,2,posterior_prob,0.2256
Case 2: No clear winner,Static,alt8,2,posterior_prob,0.1856
Case 2: No clear winner,Static,best,3,posterior_prob,0.171
Case 2: No clear winner,Static,alt1,3,posterior_prob,0.0254
Case 2: No clear winner,Static,alt2,3,posterior_prob,0.0356
Case 2: No clear winner,Static,alt3,3,posterior_prob,0.0134
Case 2: No clear winner,Static,alt4,3,posterior_prob,0.4244
Case 2: No clear winner,Static,alt5,3,posterior_prob,0.0058
