algorithm,case,batches,correct,rmse_best,rmse_te,cov_best,cov_te
TS,1,1,0.9086,0.03057578548020312,0.03778077487367352,0.9407,0.9485000000000005
TS,1,2,0.945,0.02510624516957907,0.05599563363859466,0.9515,0.8459999999999999
TS,1,4,0.9616999999999996,0.02243295737348837,0.05972780924772324,0.9553999999999996,0.7689
TS,1,5,0.9629,0.02208581249492197,0.05981230889637718,0.9561000000000004,0.7744999999999994
TS,1,8,0.9653000000000002,0.02174795321064431,0.05778091003916084,0.9546000000000004,0.7851000000000001
TS,1,10,0.9681000000000002,0.02135995777642827,0.05738448863580026,0.9583,0.7951000000000001
TS,1,20,0.9673000000000002,0.02120414072219761,0.05567625652803388,0.9560000000000004,0.7993000000000001
TS,1,50,0.9700999999999996,0.02041288985394267,0.05412560959682243,0.9595999999999996,0.8049
TS,1,100,0.9687,0.01984038889651286,0.05387484949081709,0.9614,0.8068000000000004
TS,2,1,0.17979999999999982,0.02392054854705499,0.03336911323814139,0.9345,0.9473
TS,2,2,0.17700000000000035,0.03564223341208369,0.05423002216539718,0.8193000000000003,0.8016999999999999
TS,2,4,0.18259999999999943,0.03625422466495082,0.05475768900710324,0.8621999999999994,0.8287999999999995
TS,2,5,0.18100000000000016,0.03589195392906857,0.05414418756852827,0.8723000000000002,0.8379999999999993
TS,2,8,0.1936,0.03392589211452988,0.05029847638075825,0.8837999999999998,0.8501999999999996
TS,2,10,0.19329999999999972,0.03349211329438671,0.04950631904668689,0.88,0.8509000000000004
TS,2,20,0.18589999999999984,0.03221009203913226,0.04745721454084872,0.8896000000000001,0.8604999999999998
TS,2,50,0.18770000000000023,0.03099793740176997,0.04542293627738592,0.89400000000000035,0.8625999999999998
TS,2,100,0.1902999999999996,0.03077519241652094,0.04456213701182269,0.8945999999999998,0.8656999999999998
TS,3,1,0.6348999999999994,0.03072629985587587,0.03836693596694698,0.9400000000000004,0.9448
TS,3,2,0.6761999999999998,0.02725944805339062,0.05974295833994625,0.9456,0.8464000000000004
TS,3,4,0.6964000000000005,0.02611699732211089,0.06550314728560634,0.9502999999999998,0.7592000000000001
TS,3,5,0.6987000000000001,0.02595647623377397,0.06466916820679061,0.9479,0.7595999999999999
TS,3,8,0.7000000000000003,0.02574922322923747,0.06193627430121042,0.9521000000000002,0.7827000000000002
TS,3,10,0.7146999999999999,0.02474514364637702,0.06080980341688941,0.9554999999999998,0.7958000000000001
TS,3,20,0.7082999999999998,0.02475157882435573,0.05946211742135396,0.9557,0.7956999999999999
TS,3,50,0.7101999999999997,0.0241067353789452,0.05800319750836615,0.9546000000000002,0.8030999999999996
TS,3,100,0.7041000000000002,0.02348100640594791,0.05774640842370723,0.9578,0.7993000000000002
CA,1,2,0.9388999999999998,0.02499422557709994,0.03406079465311983,0.9479,0.9447
CA,1,4,0.9489,0.023931955380360848,0.03066322089714618,0.9538,0.9519
CA,1,5,0.9545,0.02380141001949835,0.030484948220495,0.9549999999999998,0.9492
CA,1,8,0.9548,0.02336373201438579,0.02962851631451563,0.9560000000000004,0.952
CA,1,10,0.9560000000000004,0.02338363176240237,0.02932266358822316,0.9566,0.9516000000000004
CA,1,20,0.9601999999999998,0.02306561208639623,0.02893280017240405,0.9616,0.9543
CA,1,50,0.9577,0.02328693038457125,0.02892752429632866,0.9624,0.9564
CA,1,100,0.9573,0.02418889461864462,0.03002162925551009,0.9568,0.9526
CA,2,2,0.15870000000000029,0.03631414207643659,0.04345752944804892,0.8204999999999999,0.8675999999999993
CA,2,4,0.16469999999999924,0.03672081426316143,0.0433378773837606,0.8571000000000008,0.868199999999999
CA,2,5,0.1760000000000005,0.03635298755144398,0.04276856189717364,0.8667000000000001,0.8789000000000001
CA,2,8,0.1750999999999998,0.03473808548332195,0.04079169984022063,0.8782000000000003,0.8869999999999997
CA,2,10,0.17400000000000018,0.034299514826319,0.04076995020301906,0.8793,0.8863000000000002
CA,2,20,0.1737,0.03399100946478446,0.04004800979659371,0.8809999999999998,0.8851000000000002
CA,2,50,0.17990000000000006,0.03328790842092972,0.03975095430980657,0.8854999999999996,0.8903000000000001
CA,2,100,0.17779999999999985,0.03350251157682866,0.0397866564019641,0.884899999999999,0.8919000000000002
CA,3,2,0.6644999999999998,0.02739178332191496,0.03583395340174714,0.9434999999999998,0.9418999999999996
CA,3,4,0.6729000000000008,0.02879955091003479,0.03556684497359617,0.9433999999999996,0.9367999999999992
CA,3,5,0.6847000000000004,0.02861720026485443,0.03503997885223622,0.9421000000000002,0.9319
CA,3,8,0.6818000000000001,0.02914022609211211,0.03478037482720306,0.9429,0.9376000000000002
CA,3,10,0.6829,0.02865948447311381,0.03452476735094487,0.9464,0.9370999999999996
CA,3,20,0.6759000000000006,0.0289675217307478,0.03432620908736164,0.9425,0.9382999999999996
CA,3,50,0.6794999999999998,0.02879279032415267,0.03412541594742268,0.9459,0.9406
CA,3,100,0.6699999999999994,0.03090672402221722,0.03636256800351829,0.9407000000000004,0.936
