algorithm,best_arm_value,correct,rmse_best,rmse_te,cov_best,cov_te
TS,0.1,0.11339999999999983,0.03455863692703397,0.05027242135465109,0.8674,0.8482000000000003
TS,0.11,0.19329999999999972,0.03349211329438671,0.04950631904668689,0.88,0.8509000000000004
TS,0.12,0.28850000000000053,0.03113161133334599,0.04828012352734111,0.9111999999999996,0.8668999999999998
TS,0.13,0.4144999999999999,0.02969718637300954,0.0483857054297345,0.9233,0.8594999999999999
TS,0.14,0.5343999999999998,0.0284038317712368,0.04909555058622214,0.9336,0.8558999999999999
TS,0.15,0.6645999999999999,0.02634460583607177,0.04865358732634001,0.9447999999999996,0.8554000000000002
TS,0.16,0.7793000000000002,0.02555762552365362,0.04925872852586494,0.9452000000000002,0.8417000000000003
TS,0.17,0.8482000000000004,0.02428397644242396,0.05111596553295271,0.952,0.8331999999999997
TS,0.18,0.9045000000000002,0.02315966553409122,0.05253382299427079,0.9536,0.8238000000000005
TS,0.19,0.9464,0.02207315303750493,0.05456896112806259,0.9596,0.8066000000000003
TS,0.2,0.9681000000000002,0.02135995777642827,0.05738448863580026,0.9583,0.7951000000000001
Static,0.1,0.11780000000000038,0.02254411013970856,0.03172256790041231,0.9356999999999996,0.952
Static,0.11,0.17979999999999982,0.02392054854705499,0.03336911323814139,0.9345,0.9473
Static,0.12,0.26550000000000024,0.02500527693367061,0.03382603474807872,0.9289,0.9445
Static,0.13,0.3633000000000005,0.02553956941920747,0.03433719678556505,0.9356999999999998,0.9479
Static,0.14,0.4710000000000005,0.02627597731662403,0.03488544905548268,0.9378000000000002,0.9488
Static,0.15,0.5749000000000003,0.02737130694350647,0.035385673966644673,0.9367000000000002,0.9461000000000002
Static,0.16,0.6664000000000002,0.02790174800224895,0.03604820818503658,0.9442000000000004,0.9525
Static,0.17,0.7495999999999997,0.02830176411292225,0.03662703842352665,0.9467,0.9497
Static,0.18,0.8259999999999997,0.02918205925298662,0.03685934111206263,0.9434999999999998,0.9505
Static,0.19,0.8699000000000001,0.03013335945126487,0.03774880811989993,0.9393000000000004,0.9478
Static,0.2,0.9086,0.03057578548020312,0.03778077487367352,0.9407,0.9485000000000005
CA,0.1,0.10580000000000006,0.03704757088521536,0.0428543114495956,0.8427999999999997,0.8541
CA,0.11,0.17400000000000018,0.034299514826319,0.04076995020301906,0.8793,0.8863000000000002
CA,0.12,0.2746999999999989,0.03328997529473111,0.03958488569454596,0.8973999999999999,0.9001999999999997
CA,0.13,0.3749000000000016,0.03183577516076274,0.03826553507349072,0.9101,0.9065
CA,0.14,0.5019000000000007,0.02967455155497818,0.03659840524547572,0.9291,0.9208
CA,0.15,0.6357000000000002,0.02797271859841051,0.03459286246994437,0.9397,0.9358
CA,0.16,0.7276000000000002,0.02688502871850178,0.03343483780183044,0.9439000000000004,0.9423
CA,0.17,0.8197999999999998,0.02613243930396908,0.03260724921248501,0.9474,0.9431
CA,0.18,0.8769000000000003,0.02545335034407884,0.03176645037352781,0.9491000000000002,0.9433
CA,0.19,0.9231,0.02425052522750749,0.03020959013593649,0.9555,0.949
CA,0.2,0.9560000000000004,0.02338363176240237,0.02932266358822316,0.9566,0.9516000000000004
