Scenario,Algorithm,batches,statistic,value
2: No clear winner,Control-Augmented,4,Coverage of ATE,0.868199999999999
2: No clear winner,Control-Augmented,5,Best arm selection,0.1760000000000005
2: No clear winner,Control-Augmented,5,Coverage of best arm,0.8667000000000001
2: No clear winner,Control-Augmented,5,Coverage of ATE,0.8789000000000001
2: No clear winner,Control-Augmented,50,Best arm selection,0.17990000000000006
2: No clear winner,Control-Augmented,50,Coverage of best arm,0.8854999999999996
2: No clear winner,Control-Augmented,50,Coverage of ATE,0.8903000000000001
2: No clear winner,Control-Augmented,8,Best arm selection,0.1750999999999998
2: No clear winner,Control-Augmented,8,Coverage of best arm,0.8782000000000003
2: No clear winner,Control-Augmented,8,Coverage of ATE,0.8869999999999997
3: Competing second-best,Thompson Sampling,10,Best arm selection,0.7146999999999999
3: Competing second-best,Thompson Sampling,10,Coverage of best arm,0.9554999999999998
3: Competing second-best,Thompson Sampling,10,Coverage of ATE,0.7958000000000001
3: Competing second-best,Thompson Sampling,100,Best arm selection,0.7041000000000002
3: Competing second-best,Thompson Sampling,100,Coverage of best arm,0.9578
3: Competing second-best,Thompson Sampling,100,Coverage of ATE,0.7993000000000002
3: Competing second-best,Thompson Sampling,2,Best arm selection,0.6761999999999998
3: Competing second-best,Thompson Sampling,2,Coverage of best arm,0.9456
3: Competing second-best,Thompson Sampling,2,Coverage of ATE,0.8464000000000004
3: Competing second-best,Thompson Sampling,20,Best arm selection,0.7082999999999998
3: Competing second-best,Thompson Sampling,20,Coverage of best arm,0.9557
3: Competing second-best,Thompson Sampling,20,Coverage of ATE,0.7956999999999999
3: Competing second-best,Thompson Sampling,4,Best arm selection,0.6964000000000005
3: Competing second-best,Thompson Sampling,4,Coverage of best arm,0.9502999999999998
3: Competing second-best,Thompson Sampling,4,Coverage of ATE,0.7592000000000001
3: Competing second-best,Thompson Sampling,5,Best arm selection,0.6987000000000001
3: Competing second-best,Thompson Sampling,5,Coverage of best arm,0.9479
3: Competing second-best,Thompson Sampling,5,Coverage of ATE,0.7595999999999999
3: Competing second-best,Thompson Sampling,50,Best arm selection,0.7101999999999997
3: Competing second-best,Thompson Sampling,50,Coverage of best arm,0.9546000000000002
3: Competing second-best,Thompson Sampling,50,Coverage of ATE,0.8030999999999996
3: Competing second-best,Thompson Sampling,8,Best arm selection,0.7000000000000003
3: Competing second-best,Thompson Sampling,8,Coverage of best arm,0.9521000000000002
3: Competing second-best,Thompson Sampling,8,Coverage of ATE,0.7827000000000002
3: Competing second-best,Thompson Sampling,1,Best arm selection,0.6348999999999994
3: Competing second-best,Thompson Sampling,1,Coverage of best arm,0.9400000000000004
3: Competing second-best,Thompson Sampling,1,Coverage of ATE,0.9448
3: Competing second-best,Control-Augmented,10,Best arm selection,0.6829
3: Competing second-best,Control-Augmented,10,Coverage of best arm,0.9464
3: Competing second-best,Control-Augmented,10,Coverage of ATE,0.9370999999999996
3: Competing second-best,Control-Augmented,100,Best arm selection,0.6699999999999994
3: Competing second-best,Control-Augmented,100,Coverage of best arm,0.9407000000000004
3: Competing second-best,Control-Augmented,100,Coverage of ATE,0.936
3: Competing second-best,Control-Augmented,2,Best arm selection,0.6644999999999998
3: Competing second-best,Control-Augmented,2,Coverage of best arm,0.9434999999999998
3: Competing second-best,Control-Augmented,2,Coverage of ATE,0.9418999999999996
3: Competing second-best,Control-Augmented,20,Best arm selection,0.6759000000000006
3: Competing second-best,Control-Augmented,20,Coverage of best arm,0.9425
3: Competing second-best,Control-Augmented,20,Coverage of ATE,0.9382999999999996
3: Competing second-best,Control-Augmented,4,Best arm selection,0.6729000000000008
3: Competing second-best,Control-Augmented,4,Coverage of best arm,0.9433999999999996
3: Competing second-best,Control-Augmented,4,Coverage of ATE,0.9367999999999992
3: Competing second-best,Control-Augmented,5,Best arm selection,0.6847000000000004
3: Competing second-best,Control-Augmented,5,Coverage of best arm,0.9421000000000002
3: Competing second-best,Control-Augmented,5,Coverage of ATE,0.9319
3: Competing second-best,Control-Augmented,50,Best arm selection,0.6794999999999998
3: Competing second-best,Control-Augmented,50,Coverage of best arm,0.9459
3: Competing second-best,Control-Augmented,50,Coverage of ATE,0.9406
3: Competing second-best,Control-Augmented,8,Best arm selection,0.6818000000000001
3: Competing second-best,Control-Augmented,8,Coverage of best arm,0.9429
3: Competing second-best,Control-Augmented,8,Coverage of ATE,0.9376000000000002
