case,design,arm,batch,posterior_prob
Case 3: Competing second best,Static,alt1,0,0.1111111111111111
Case 3: Competing second best,Static,alt2,0,0.1111111111111111
Case 3: Competing second best,Static,alt3,0,0.1111111111111111
Case 3: Competing second best,Static,alt4,0,0.1111111111111111
Case 3: Competing second best,Static,alt5,0,0.1111111111111111
Case 3: Competing second best,Static,alt6,0,0.1111111111111111
Case 3: Competing second best,Static,alt7,0,0.1111111111111111
Case 3: Competing second best,Static,alt8,0,0.1111111111111111
Case 3: Competing second best,Static,best,1,0.1504
Case 3: Competing second best,Static,alt1,1,0.693
Case 3: Competing second best,Static,alt2,1,6e-4
Case 3: Competing second best,Static,alt3,1,0.0048
Case 3: Competing second best,Static,alt4,1,0.089
Case 3: Competing second best,Static,alt5,1,0.0108
Case 3: Competing second best,Static,alt6,1,0.0172
Case 3: Competing second best,Static,alt7,1,0.0082
Case 3: Competing second best,Static,alt8,1,0.026
Case 3: Competing second best,Static,best,2,0.1198
Case 3: Competing second best,Static,alt1,2,0.7662
Case 3: Competing second best,Static,alt2,2,8e-4
Case 3: Competing second best,Static,alt3,2,0
Case 3: Competing second best,Static,alt4,2,0.0646
Case 3: Competing second best,Static,alt5,2,6e-4
Case 3: Competing second best,Static,alt6,2,0
Case 3: Competing second best,Static,alt7,2,0.0014
Case 3: Competing second best,Static,alt8,2,0.0466
Case 3: Competing second best,Static,best,3,0.4282
Case 3: Competing second best,Static,alt1,3,0.512
Case 3: Competing second best,Static,alt2,3,0.0036
Case 3: Competing second best,Static,alt3,3,2e-4
Case 3: Competing second best,Static,alt4,3,0.026
Case 3: Competing second best,Static,alt5,3,0.002
Case 3: Competing second best,Static,alt6,3,2e-4
Case 3: Competing second best,Static,alt7,3,4e-4
Case 3: Competing second best,Static,alt8,3,0.0274
Case 3: Competing second best,Static,best,4,0.146
Case 3: Competing second best,Static,alt1,4,0.8414
Case 3: Competing second best,Static,alt2,4,8e-4
Case 3: Competing second best,Static,alt3,4,2e-4
Case 3: Competing second best,Static,alt4,4,0.0074
Case 3: Competing second best,Static,alt5,4,4e-4
Case 3: Competing second best,Static,alt6,4,0.0016
Case 3: Competing second best,Static,alt7,4,0
Case 3: Competing second best,Static,alt8,4,0.0022
Case 3: Competing second best,Static,best,5,0.2536
Case 3: Competing second best,Static,alt1,5,0.6852
Case 3: Competing second best,Static,alt2,5,0.0134
Case 3: Competing second best,Static,alt3,5,0.0076
Case 3: Competing second best,Static,alt4,5,0.0116
Case 3: Competing second best,Static,alt5,5,0.0142
Case 3: Competing second best,Static,alt6,5,0.0138
Case 3: Competing second best,Static,alt7,5,0
Case 3: Competing second best,Static,alt8,5,6e-4
Case 3: Competing second best,Static,best,6,0.1936
Case 3: Competing second best,Static,alt1,6,0.7564
Case 3: Competing second best,Static,alt2,6,0.019
Case 3: Competing second best,Static,alt3,6,0.01
Case 3: Competing second best,Static,alt4,6,0.007
Case 3: Competing second best,Static,alt5,6,0.0018
Case 3: Competing second best,Static,alt6,6,0.0112
Case 3: Competing second best,Static,alt7,6,8e-4
Case 3: Competing second best,Static,alt8,6,2e-4
Case 3: Competing second best,Static,best,7,0.1734
Case 3: Competing second best,Static,alt1,7,0.7614
Case 3: Competing second best,Static,alt2,7,0.01
Case 3: Competing second best,Static,alt3,7,0.004
Case 3: Competing second best,Static,alt4,7,0.0214
Case 3: Competing second best,Static,alt5,7,0.0198
Case 3: Competing second best,Static,alt6,7,0.0094
Case 3: Competing second best,Static,alt7,7,2e-4
Case 3: Competing second best,Static,alt8,7,4e-4
Case 3: Competing second best,Static,best,8,0.248
Case 3: Competing second best,Static,alt1,8,0.6706
Case 3: Competing second best,Static,alt2,8,0.01
Case 3: Competing second best,Static,alt3,8,0.0036
Case 3: Competing second best,Static,alt4,8,0.0212
Case 3: Competing second best,Static,alt5,8,0.0348
Case 3: Competing second best,Static,alt6,8,0.0118
Case 3: Competing second best,Static,alt7,8,0
Case 3: Competing second best,Static,alt8,8,0
Case 3: Competing second best,Static,best,9,0.1748
Case 3: Competing second best,Static,alt1,9,0.7398
Case 3: Competing second best,Static,alt2,9,0.0162
Case 3: Competing second best,Static,alt3,9,0.0046
Case 3: Competing second best,Static,alt4,9,0.0194
Case 3: Competing second best,Static,alt5,9,0.0364
Case 3: Competing second best,Static,alt6,9,0.0084
Case 3: Competing second best,Static,alt7,9,2e-4
Case 3: Competing second best,Static,alt8,9,2e-4
Case 3: Competing second best,Static,best,10,0.2392
Case 3: Competing second best,Static,alt1,10,0.6574
Case 3: Competing second best,Static,alt2,10,0.0226
Case 3: Competing second best,Static,alt3,10,0.0074
Case 3: Competing second best,Static,alt4,10,0.0066
Case 3: Competing second best,Static,alt5,10,0.027
Case 3: Competing second best,Static,alt6,10,0.0398
Case 3: Competing second best,Static,alt7,10,0
Case 3: Competing second best,Static,alt8,10,0
