case,arm,batch,quantity,value
Case 1: Clear winner,alt3,1,cumulative_n,10
Case 1: Clear winner,alt4,1,cumulative_n,9
Case 1: Clear winner,alt5,1,cumulative_n,3
Case 1: Clear winner,alt6,1,cumulative_n,15
Case 1: Clear winner,alt7,1,cumulative_n,13
Case 1: Clear winner,alt8,1,cumulative_n,10
Case 1: Clear winner,best,2,cumulative_n,33
Case 1: Clear winner,alt1,2,cumulative_n,20
Case 1: Clear winner,alt2,2,cumulative_n,25
Case 1: Clear winner,alt3,2,cumulative_n,15
Case 1: Clear winner,alt4,2,cumulative_n,10
Case 1: Clear winner,alt5,2,cumulative_n,15
Case 1: Clear winner,alt6,2,cumulative_n,15
Case 1: Clear winner,alt7,2,cumulative_n,57
Case 1: Clear winner,alt8,2,cumulative_n,10
Case 1: Clear winner,best,3,cumulative_n,70
Case 1: Clear winner,alt1,3,cumulative_n,20
Case 1: Clear winner,alt2,3,cumulative_n,42
Case 1: Clear winner,alt3,3,cumulative_n,15
Case 1: Clear winner,alt4,3,cumulative_n,10
Case 1: Clear winner,alt5,3,cumulative_n,17
Case 1: Clear winner,alt6,3,cumulative_n,15
Case 1: Clear winner,alt7,3,cumulative_n,97
Case 1: Clear winner,alt8,3,cumulative_n,14
Case 1: Clear winner,best,4,cumulative_n,82
Case 1: Clear winner,alt1,4,cumulative_n,26
Case 1: Clear winner,alt2,4,cumulative_n,88
Case 1: Clear winner,alt3,4,cumulative_n,22
Case 1: Clear winner,alt4,4,cumulative_n,12
Case 1: Clear winner,alt5,4,cumulative_n,29
Case 1: Clear winner,alt6,4,cumulative_n,16
Case 1: Clear winner,alt7,4,cumulative_n,105
Case 1: Clear winner,alt8,4,cumulative_n,20
Case 1: Clear winner,best,5,cumulative_n,104
Case 1: Clear winner,alt1,5,cumulative_n,31
Case 1: Clear winner,alt2,5,cumulative_n,99
Case 1: Clear winner,alt3,5,cumulative_n,25
Case 1: Clear winner,alt4,5,cumulative_n,15
Case 1: Clear winner,alt5,5,cumulative_n,37
Case 1: Clear winner,alt6,5,cumulative_n,17
Case 1: Clear winner,alt7,5,cumulative_n,130
Case 1: Clear winner,alt8,5,cumulative_n,42
Case 1: Clear winner,best,6,cumulative_n,142
Case 1: Clear winner,alt1,6,cumulative_n,32
Case 1: Clear winner,alt2,6,cumulative_n,115
Case 1: Clear winner,alt3,6,cumulative_n,34
Case 1: Clear winner,alt4,6,cumulative_n,17
Case 1: Clear winner,alt5,6,cumulative_n,40
Case 1: Clear winner,alt6,6,cumulative_n,17
Case 1: Clear winner,alt7,6,cumulative_n,138
Case 1: Clear winner,alt8,6,cumulative_n,65
Case 1: Clear winner,best,7,cumulative_n,197
Case 1: Clear winner,alt1,7,cumulative_n,32
Case 1: Clear winner,alt2,7,cumulative_n,152
Case 1: Clear winner,alt3,7,cumulative_n,35
Case 1: Clear winner,alt4,7,cumulative_n,18
Case 1: Clear winner,alt5,7,cumulative_n,41
Case 1: Clear winner,alt6,7,cumulative_n,18
Case 1: Clear winner,alt7,7,cumulative_n,142
Case 1: Clear winner,alt8,7,cumulative_n,65
Case 1: Clear winner,best,8,cumulative_n,240
Case 1: Clear winner,alt1,8,cumulative_n,33
Case 1: Clear winner,alt2,8,cumulative_n,207
Case 1: Clear winner,alt3,8,cumulative_n,36
Case 1: Clear winner,alt4,8,cumulative_n,18
Case 1: Clear winner,alt5,8,cumulative_n,41
Case 1: Clear winner,alt6,8,cumulative_n,18
Case 1: Clear winner,alt7,8,cumulative_n,142
Case 1: Clear winner,alt8,8,cumulative_n,65
Case 1: Clear winner,best,9,cumulative_n,293
Case 1: Clear winner,alt1,9,cumulative_n,33
Case 1: Clear winner,alt2,9,cumulative_n,250
Case 1: Clear winner,alt3,9,cumulative_n,36
Case 1: Clear winner,alt4,9,cumulative_n,18
Case 1: Clear winner,alt5,9,cumulative_n,43
Case 1: Clear winner,alt6,9,cumulative_n,18
