case,arm,batch,quantity,value
Case 3: Competing second best,alt1,1,cumulative_n,6
Case 3: Competing second best,alt2,1,cumulative_n,12
Case 3: Competing second best,alt3,1,cumulative_n,10
Case 3: Competing second best,alt4,1,cumulative_n,12
Case 3: Competing second best,alt5,1,cumulative_n,15
Case 3: Competing second best,alt6,1,cumulative_n,10
Case 3: Competing second best,alt7,1,cumulative_n,15
Case 3: Competing second best,alt8,1,cumulative_n,9
Case 3: Competing second best,best,2,cumulative_n,49
Case 3: Competing second best,alt1,2,cumulative_n,32
Case 3: Competing second best,alt2,2,cumulative_n,26
Case 3: Competing second best,alt3,2,cumulative_n,10
Case 3: Competing second best,alt4,2,cumulative_n,12
Case 3: Competing second best,alt5,2,cumulative_n,15
Case 3: Competing second best,alt6,2,cumulative_n,11
Case 3: Competing second best,alt7,2,cumulative_n,24
Case 3: Competing second best,alt8,2,cumulative_n,21
Case 3: Competing second best,best,3,cumulative_n,67
Case 3: Competing second best,alt1,3,cumulative_n,40
Case 3: Competing second best,alt2,3,cumulative_n,58
Case 3: Competing second best,alt3,3,cumulative_n,16
Case 3: Competing second best,alt4,3,cumulative_n,17
Case 3: Competing second best,alt5,3,cumulative_n,17
Case 3: Competing second best,alt6,3,cumulative_n,20
Case 3: Competing second best,alt7,3,cumulative_n,35
Case 3: Competing second best,alt8,3,cumulative_n,30
Case 3: Competing second best,best,4,cumulative_n,90
Case 3: Competing second best,alt1,4,cumulative_n,56
Case 3: Competing second best,alt2,4,cumulative_n,76
Case 3: Competing second best,alt3,4,cumulative_n,20
Case 3: Competing second best,alt4,4,cumulative_n,17
Case 3: Competing second best,alt5,4,cumulative_n,24
Case 3: Competing second best,alt6,4,cumulative_n,46
Case 3: Competing second best,alt7,4,cumulative_n,40
Case 3: Competing second best,alt8,4,cumulative_n,31
Case 3: Competing second best,best,5,cumulative_n,110
Case 3: Competing second best,alt1,5,cumulative_n,67
Case 3: Competing second best,alt2,5,cumulative_n,101
Case 3: Competing second best,alt3,5,cumulative_n,40
Case 3: Competing second best,alt4,5,cumulative_n,18
Case 3: Competing second best,alt5,5,cumulative_n,34
Case 3: Competing second best,alt6,5,cumulative_n,55
Case 3: Competing second best,alt7,5,cumulative_n,42
Case 3: Competing second best,alt8,5,cumulative_n,33
Case 3: Competing second best,best,6,cumulative_n,172
Case 3: Competing second best,alt1,6,cumulative_n,73
Case 3: Competing second best,alt2,6,cumulative_n,111
Case 3: Competing second best,alt3,6,cumulative_n,40
Case 3: Competing second best,alt4,6,cumulative_n,22
Case 3: Competing second best,alt5,6,cumulative_n,34
Case 3: Competing second best,alt6,6,cumulative_n,59
Case 3: Competing second best,alt7,6,cumulative_n,47
Case 3: Competing second best,alt8,6,cumulative_n,42
Case 3: Competing second best,best,7,cumulative_n,195
Case 3: Competing second best,alt1,7,cumulative_n,73
Case 3: Competing second best,alt2,7,cumulative_n,180
Case 3: Competing second best,alt3,7,cumulative_n,41
Case 3: Competing second best,alt4,7,cumulative_n,28
Case 3: Competing second best,alt5,7,cumulative_n,34
Case 3: Competing second best,alt6,7,cumulative_n,59
Case 3: Competing second best,alt7,7,cumulative_n,47
Case 3: Competing second best,alt8,7,cumulative_n,43
Case 3: Competing second best,best,8,cumulative_n,250
Case 3: Competing second best,alt1,8,cumulative_n,74
Case 3: Competing second best,alt2,8,cumulative_n,207
Case 3: Competing second best,alt3,8,cumulative_n,41
Case 3: Competing second best,alt4,8,cumulative_n,34
Case 3: Competing second best,alt5,8,cumulative_n,34
Case 3: Competing second best,alt6,8,cumulative_n,62
Case 3: Competing second best,alt7,8,cumulative_n,52
Case 3: Competing second best,alt8,8,cumulative_n,46
Case 3: Competing second best,best,9,cumulative_n,276
Case 3: Competing second best,alt1,9,cumulative_n,77
Case 3: Competing second best,alt2,9,cumulative_n,258
Case 3: Competing second best,alt3,9,cumulative_n,42
Case 3: Competing second best,alt4,9,cumulative_n,39
Case 3: Competing second best,alt5,9,cumulative_n,37
Case 3: Competing second best,alt6,9,cumulative_n,66
Case 3: Competing second best,alt7,9,cumulative_n,55
Case 3: Competing second best,alt8,9,cumulative_n,50
Case 3: Competing second best,best,10,cumulative_n,317
Case 3: Competing second best,alt1,10,cumulative_n,83
Case 3: Competing second best,alt2,10,cumulative_n,292
Case 3: Competing second best,alt3,10,cumulative_n,42
Case 3: Competing second best,alt4,10,cumulative_n,46
Case 3: Competing second best,alt5,10,cumulative_n,38
Case 3: Competing second best,alt6,10,cumulative_n,71
Case 3: Competing second best,alt7,10,cumulative_n,56
Case 3: Competing second best,alt8,10,cumulative_n,55
