design,attribute,level,batch,posterior_prob
Adaptive,Disclosures,Eliminate,3,0.013189999999999995
Adaptive,Personal limits,"$1,000,000",4,0.3624199999999999
Adaptive,Personal limits,"$10,000",4,0.50424
Adaptive,Personal limits,"100,000",4,0.07517
Adaptive,Personal limits,No limits,4,0.05817000000000001
Adaptive,Corporate limits,Allow all,4,0.0020100000000000005
Adaptive,Corporate limits,Prohibit all,4,0.5233300000000001
Adaptive,Corporate limits,"Prohibit candidate;
 allow PAC",4,0.47466000000000014
Adaptive,Public funding,1:1 match,4,0.17601999999999998
Adaptive,Public funding,5:1 match,4,0.05583
Adaptive,Public funding,Maintain status quo,4,0.12141999999999999
Adaptive,Public funding,Prohibit all,4,0.64673
Adaptive,Disclosures,Disclose > $200,4,0.4149999999999999
Adaptive,Disclosures,Disclose > $500,4,0.35986
Adaptive,Disclosures,Disclose all,4,0.21317999999999998
Adaptive,Disclosures,Eliminate,4,0.011959999999999997
Adaptive,Personal limits,"$1,000,000",5,0.54647
Adaptive,Personal limits,"$10,000",5,0.37001000000000006
Adaptive,Personal limits,"100,000",5,0.0364
Adaptive,Personal limits,No limits,5,0.047119999999999995
Adaptive,Corporate limits,Allow all,5,0.00826
Adaptive,Corporate limits,Prohibit all,5,0.7675500000000002
Adaptive,Corporate limits,"Prohibit candidate;
 allow PAC",5,0.22419
Adaptive,Public funding,1:1 match,5,0.21286000000000002
Adaptive,Public funding,5:1 match,5,0.12011000000000001
Adaptive,Public funding,Maintain status quo,5,0.03299
Adaptive,Public funding,Prohibit all,5,0.6340399999999999
Adaptive,Disclosures,Disclose > $200,5,0.19588000000000003
Adaptive,Disclosures,Disclose > $500,5,0.19396
Adaptive,Disclosures,Disclose all,5,0.5999300000000002
Adaptive,Disclosures,Eliminate,5,0.010229999999999998
Adaptive,Personal limits,"$1,000,000",6,0.52611
Adaptive,Personal limits,"$10,000",6,0.41489999999999994
Adaptive,Personal limits,"100,000",6,0.05454
Adaptive,Personal limits,No limits,6,0.004450000000000001
Adaptive,Corporate limits,Allow all,6,0.00425
Adaptive,Corporate limits,Prohibit all,6,0.7397699999999999
Adaptive,Corporate limits,"Prohibit candidate;
 allow PAC",6,0.25598000000000004
Adaptive,Public funding,1:1 match,6,0.1196
Adaptive,Public funding,5:1 match,6,0.03811
Adaptive,Public funding,Maintain status quo,6,0.06288
Adaptive,Public funding,Prohibit all,6,0.77941
Adaptive,Disclosures,Disclose > $200,6,0.10653999999999998
Adaptive,Disclosures,Disclose > $500,6,0.07794000000000001
Adaptive,Disclosures,Disclose all,6,0.8069499999999998
Adaptive,Disclosures,Eliminate,6,0.008569999999999998
Adaptive,Personal limits,"$1,000,000",7,0.48994999999999994
Adaptive,Personal limits,"$10,000",7,0.42719
Adaptive,Personal limits,"100,000",7,0.08017999999999999
Adaptive,Personal limits,No limits,7,0.00268
Adaptive,Corporate limits,Allow all,7,0.002450000000000001
Adaptive,Corporate limits,Prohibit all,7,0.90073
Adaptive,Corporate limits,"Prohibit candidate;
 allow PAC",7,0.09681999999999998
Adaptive,Public funding,1:1 match,7,0.035690000000000006
Adaptive,Public funding,5:1 match,7,0.0076
Adaptive,Public funding,Maintain status quo,7,0.0451
Adaptive,Public funding,Prohibit all,7,0.9116099999999999
Adaptive,Disclosures,Disclose > $200,7,0.020859999999999986
Adaptive,Disclosures,Disclose > $500,7,0.022459999999999994
Adaptive,Disclosures,Disclose all,7,0.9558799999999998
