Scenario,Algorithm,first_batch,statistic,value
2: No clear winner,Control-Augmented,820,ATE of best arm,0.03672257785699302
2: No clear winner,Control-Augmented,910,Success rate of best arm,0.02674316783909758
2: No clear winner,Control-Augmented,910,ATE of best arm,0.03510633015095883
3: Competing second-best,Thompson Sampling,100,Success rate of best arm,0.02474514364637702
3: Competing second-best,Thompson Sampling,100,ATE of best arm,0.06080980341688941
3: Competing second-best,Thompson Sampling,190,Success rate of best arm,0.02427809735070878
3: Competing second-best,Thompson Sampling,190,ATE of best arm,0.0627497388580178
3: Competing second-best,Thompson Sampling,280,Success rate of best arm,0.02426911200554955
3: Competing second-best,Thompson Sampling,280,ATE of best arm,0.0639811833678387
3: Competing second-best,Thompson Sampling,370,Success rate of best arm,0.02450762004290732
3: Competing second-best,Thompson Sampling,370,ATE of best arm,0.06385993488002237
3: Competing second-best,Thompson Sampling,460,Success rate of best arm,0.02527519935332537
3: Competing second-best,Thompson Sampling,460,ATE of best arm,0.06199624395853929
3: Competing second-best,Thompson Sampling,550,Success rate of best arm,0.02591655981168535
3: Competing second-best,Thompson Sampling,550,ATE of best arm,0.05780620443729654
3: Competing second-best,Thompson Sampling,640,Success rate of best arm,0.02680836005442909
3: Competing second-best,Thompson Sampling,640,ATE of best arm,0.05382654068213988
3: Competing second-best,Thompson Sampling,730,Success rate of best arm,0.02720742249546413
3: Competing second-best,Thompson Sampling,730,ATE of best arm,0.04959442601196492
3: Competing second-best,Thompson Sampling,820,Success rate of best arm,0.02846417417593618
3: Competing second-best,Thompson Sampling,820,ATE of best arm,0.04490287665947621
3: Competing second-best,Thompson Sampling,910,Success rate of best arm,0.0293624927371111
3: Competing second-best,Thompson Sampling,910,ATE of best arm,0.0408209233190973
3: Competing second-best,Control-Augmented,100,Success rate of best arm,0.02865948447311381
3: Competing second-best,Control-Augmented,100,ATE of best arm,0.03452476735094487
3: Competing second-best,Control-Augmented,190,Success rate of best arm,0.0282739350863822
3: Competing second-best,Control-Augmented,190,ATE of best arm,0.03404026027623819
3: Competing second-best,Control-Augmented,280,Success rate of best arm,0.0274756741396385
3: Competing second-best,Control-Augmented,280,ATE of best arm,0.03378196745946957
3: Competing second-best,Control-Augmented,370,Success rate of best arm,0.02727555527716762
3: Competing second-best,Control-Augmented,370,ATE of best arm,0.03335184397552918
3: Competing second-best,Control-Augmented,460,Success rate of best arm,0.02720581727654379
3: Competing second-best,Control-Augmented,460,ATE of best arm,0.03394875876660986
3: Competing second-best,Control-Augmented,550,Success rate of best arm,0.02748296760272334
3: Competing second-best,Control-Augmented,550,ATE of best arm,0.03426405387581234
3: Competing second-best,Control-Augmented,640,Success rate of best arm,0.02805310789742149
3: Competing second-best,Control-Augmented,640,ATE of best arm,0.03513439407700525
3: Competing second-best,Control-Augmented,730,Success rate of best arm,0.02878095982173415
3: Competing second-best,Control-Augmented,730,ATE of best arm,0.03563565973547399
3: Competing second-best,Control-Augmented,820,Success rate of best arm,0.02974061741770621
3: Competing second-best,Control-Augmented,820,ATE of best arm,0.03694990284820643
3: Competing second-best,Control-Augmented,910,Success rate of best arm,0.03015018951963628
3: Competing second-best,Control-Augmented,910,ATE of best arm,0.03721793304924194
1: Clear winner,Thompson Sampling,1000,Success rate of best arm,0.03057578548020312
1: Clear winner,Thompson Sampling,1000,ATE of best arm,0.03778077487367352
1: Clear winner,Control-Augmented,1000,Success rate of best arm,0.03057578548020312
1: Clear winner,Control-Augmented,1000,ATE of best arm,0.03778077487367352
2: No clear winner,Thompson Sampling,1000,Success rate of best arm,0.02392054854705499
2: No clear winner,Thompson Sampling,1000,ATE of best arm,0.03336911323814139
2: No clear winner,Control-Augmented,1000,Success rate of best arm,0.02392054854705499
2: No clear winner,Control-Augmented,1000,ATE of best arm,0.03336911323814139
3: Competing second-best,Thompson Sampling,1000,Success rate of best arm,0.03072629985587587
3: Competing second-best,Thompson Sampling,1000,ATE of best arm,0.03836693596694698
3: Competing second-best,Control-Augmented,1000,Success rate of best arm,0.03072629985587587
3: Competing second-best,Control-Augmented,1000,ATE of best arm,0.03836693596694698
