design,batch,profile,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,5,6,0.0011,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,6,6,0.00106,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,7,6,1.1e-4,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,8,6,1e-5,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,9,6,7e-5,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,10,6,2.7e-4,"100,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,0,7,0.005208333333333333,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,1,7,0.10539,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,2,7,5.5e-4,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,3,7,0.02224,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,4,7,0.04468,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,5,7,0.01492,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,6,7,0.00906,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,7,7,5.8e-4,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,8,7,5e-5,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,9,7,1.1e-4,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,10,7,2e-5,"$1,000,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,0,8,0.005208333333333333,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,1,8,0.00136,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,2,8,5e-5,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,3,8,0.00891,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,4,8,0.06058,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,5,8,0.00939,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,6,8,0.00849,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,7,8,7.9e-4,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,8,8,2.2e-4,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,9,8,3.8e-4,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,10,8,4.5e-4,"$10,000","Prohibit candidate;
 allow PAC",Prohibit all,Disclose > $200
Adaptive,0,9,0.005208333333333333,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,1,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,2,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,3,9,1e-5,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,4,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,5,9,2e-5,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,6,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,7,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,8,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,9,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,10,9,0,No limits,Allow all,Prohibit all,Disclose > $200
Adaptive,0,10,0.005208333333333333,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,1,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,2,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,3,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,4,10,4e-5,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,5,10,3e-5,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,6,10,1e-5,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,7,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,8,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,9,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,10,10,0,"100,000",Allow all,Prohibit all,Disclose > $200
Adaptive,0,11,0.005208333333333333,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,1,11,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,2,11,1e-5,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,3,11,1.7e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,4,11,2e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,5,11,5.5e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,6,11,2.5e-4,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,7,11,3e-5,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,8,11,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,9,11,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,10,11,0,"$1,000,000",Allow all,Prohibit all,Disclose > $200
Adaptive,0,12,0.005208333333333333,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,1,12,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,2,12,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,3,12,7e-5,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,4,12,1.5e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,5,12,2.4e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,6,12,1.6e-4,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,7,12,2e-5,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,8,12,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,9,12,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,10,12,0,"$10,000",Allow all,Prohibit all,Disclose > $200
Adaptive,0,13,0.005208333333333333,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,1,13,8.3e-4,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,2,13,0.00105,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,3,13,0.00276,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,4,13,8.3e-4,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,5,13,0.0011,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,6,13,2e-5,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,7,13,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,8,13,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,9,13,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,10,13,0,No limits,Prohibit all,5:1 match,Disclose > $200
Adaptive,0,14,0.005208333333333333,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,1,14,9.9e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,2,14,0.00194,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,3,14,0.00641,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,4,14,9.6e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,5,14,8.3e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,6,14,1.7e-4,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,7,14,2e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,8,14,0,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,9,14,2e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,10,14,1e-5,"100,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,0,15,0.005208333333333333,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,1,15,0.03667,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,2,15,0.0063,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,3,15,0.038,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,4,15,0.00456,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,5,15,0.00896,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,6,15,0.00113,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,7,15,3e-5,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,8,15,0,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,9,15,0,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,10,15,3e-5,"$1,000,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,0,16,0.005208333333333333,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,1,16,4.9e-4,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,2,16,7.3e-4,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,3,16,0.0174,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,4,16,0.0051,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,5,16,0.00709,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,6,16,0.00135,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,7,16,2e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,8,16,2e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,9,16,5e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,10,16,7e-5,"$10,000",Prohibit all,5:1 match,Disclose > $200
Adaptive,0,17,0.005208333333333333,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,1,17,8.2e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,2,17,3.1e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,3,17,0.00345,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,4,17,0.00109,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
