Scenario,Algorithm,batches,statistic,value
1: Clear winner,Thompson Sampling,10,Success rate of best arm,0.02135995777642827
1: Clear winner,Thompson Sampling,10,ATE of best arm,0.05738448863580026
1: Clear winner,Thompson Sampling,100,Success rate of best arm,0.01984038889651286
1: Clear winner,Thompson Sampling,100,ATE of best arm,0.05387484949081709
1: Clear winner,Thompson Sampling,2,Success rate of best arm,0.02510624516957907
1: Clear winner,Thompson Sampling,2,ATE of best arm,0.05599563363859466
1: Clear winner,Thompson Sampling,20,Success rate of best arm,0.02120414072219761
1: Clear winner,Thompson Sampling,20,ATE of best arm,0.05567625652803388
1: Clear winner,Thompson Sampling,4,Success rate of best arm,0.02243295737348837
1: Clear winner,Thompson Sampling,4,ATE of best arm,0.05972780924772324
1: Clear winner,Thompson Sampling,5,Success rate of best arm,0.02208581249492197
1: Clear winner,Thompson Sampling,5,ATE of best arm,0.05981230889637718
1: Clear winner,Thompson Sampling,50,Success rate of best arm,0.02041288985394267
1: Clear winner,Thompson Sampling,50,ATE of best arm,0.05412560959682243
1: Clear winner,Thompson Sampling,8,Success rate of best arm,0.02174795321064431
1: Clear winner,Thompson Sampling,8,ATE of best arm,0.05778091003916084
1: Clear winner,Thompson Sampling,1,Success rate of best arm,0.03057578548020312
1: Clear winner,Thompson Sampling,1,ATE of best arm,0.03778077487367352
1: Clear winner,Control-Augmented,10,Success rate of best arm,0.02338363176240237
1: Clear winner,Control-Augmented,10,ATE of best arm,0.02932266358822316
1: Clear winner,Control-Augmented,100,Success rate of best arm,0.02418889461864462
1: Clear winner,Control-Augmented,100,ATE of best arm,0.03002162925551009
1: Clear winner,Control-Augmented,2,Success rate of best arm,0.02499422557709994
1: Clear winner,Control-Augmented,2,ATE of best arm,0.03406079465311983
1: Clear winner,Control-Augmented,20,Success rate of best arm,0.02306561208639623
1: Clear winner,Control-Augmented,20,ATE of best arm,0.02893280017240405
1: Clear winner,Control-Augmented,4,Success rate of best arm,0.023931955380360848
1: Clear winner,Control-Augmented,4,ATE of best arm,0.03066322089714618
1: Clear winner,Control-Augmented,5,Success rate of best arm,0.02380141001949835
1: Clear winner,Control-Augmented,5,ATE of best arm,0.030484948220495
1: Clear winner,Control-Augmented,50,Success rate of best arm,0.02328693038457125
