type,arm,batch,posterior_prob,posterior_mean
Republicans,Accuracy,1,0.1518,0.4088633481204013
Republicans,Accuracy,2,0.0404,0.4060295131612649
Republicans,Accuracy,3,0.0684,0.4055034968377125
Republicans,Accuracy,4,0.0433,0.39053250478945056
Republicans,Accuracy,5,0.0181,0.3634073928429455
Republicans,Accuracy,6,0.0154,0.36326944136620287
Republicans,Accuracy,7,0.0173,0.3629943458999425
Republicans,Accuracy,8,0.0127,0.3631452496339406
Republicans,Accuracy,9,0.0184,0.3682622332940378
Republicans,Accuracy,10,0.0249,0.3675967144553412
Republicans,Control,0,0.16666666666666666,NA
Republicans,Control,1,0.0488,0.3966988234823134
Republicans,Control,2,0.0092,0.4026259870447991
Republicans,Control,3,0.0065,0.3946846603935073
Republicans,Control,4,0.0835,0.4193527583934298
Republicans,Control,5,0.183,0.41704524047546654
Republicans,Control,6,0.0605,0.40767187492009305
Republicans,Control,7,0.045,0.40543798145476323
Republicans,Control,8,0.0114,0.4024839312201185
Republicans,Control,9,0.0024,0.39497548504202623
Republicans,Control,10,0.0048,0.3949995037354771
Republicans,Direction,0,0.16666666666666666,NA
Republicans,Direction,1,0.1136,0.4115923543367689
Republicans,Direction,2,0.1838,0.4419616363334825
Republicans,Direction,3,0.0778,0.40476561256789256
Republicans,Direction,4,0.2416,0.42092883796793923
Republicans,Direction,5,0.1118,0.3924271972877797
Republicans,Direction,6,0.0253,0.3741574831547124
Republicans,Direction,7,0.0282,0.3733392703374881
Republicans,Direction,8,0.0151,0.3714669807052298
Republicans,Direction,9,0.0109,0.36756488465763903
Republicans,Direction,10,0.017,0.36743614250523315
Republicans,Extra Time,0,0.16666666666666666,NA
Republicans,Extra Time,1,0.0788,0.3701725881464618
Republicans,Extra Time,2,0.008,0.3367741408293486
Republicans,Extra Time,3,0.0152,0.3371163169229859
Republicans,Extra Time,4,0.0203,0.3369187085366358
Republicans,Extra Time,5,0.0324,0.33694124229496425
Republicans,Extra Time,6,0.026,0.3371849185681765
Republicans,Extra Time,7,0.0281,0.33682283733102647
Republicans,Extra Time,8,0.0292,0.34517234133356256
Republicans,Extra Time,9,0.0199,0.3360830093175029
Republicans,Extra Time,10,0.0305,0.33664522364869254
Republicans,Google,0,0.16666666666666666,NA
Republicans,Google,1,0.0082,0.3097813949149167
Republicans,Google,2,0.0054,0.3237583006970044
Republicans,Google,3,0.0099,0.32404180093462237
Republicans,Google,4,0.0193,0.3249783002536895
Republicans,Google,5,0.0186,0.32634003172721016
Republicans,Google,6,0.0143,0.32632410531063644
Republicans,Google,7,0.0144,0.3256355957263889
Republicans,Google,8,0.0107,0.3261528328565989
Republicans,Google,9,0.0088,0.32652680313054494
Republicans,Google,10,0.0155,0.3275504877257419
Republicans,Lottery,0,0.16666666666666666,NA
Republicans,Lottery,1,0.5988,0.4679949787679553
Republicans,Lottery,2,0.7532,0.487292677658804
Republicans,Lottery,3,0.8222,0.4670486511444401
Republicans,Lottery,4,0.592,0.4461670603344938
Republicans,Lottery,5,0.6361,0.43447768200101866
Republicans,Lottery,6,0.8585,0.44074880239011566
Republicans,Lottery,7,0.867,0.4383783387300161
Republicans,Lottery,8,0.9209,0.442399282562144
Republicans,Lottery,9,0.9396,0.44315363460061963
Republicans,Lottery,10,0.9073,0.4348482961872485
