type,term,estimate,std.error,conf.low,conf.high,p.value
Democrats,Control mean,0.9556588073099844,0.01273662557351459,0.9306737709607844,0.9806438436591844,0
Democrats,Lottery,0.00889408040505818,0.01631098402737784,-0.023102662096558882,0.04089082290667524,0.5856471118117457
Democrats,Accuracy,0.0021579284305294514,0.017467357100532387,-0.032107234627163514,0.03642309148822241,0.9016968190063297
Democrats,Google,-0.04764492752684151,0.030407781753089613,-0.10729491315406611,0.012005058100383083,0.11737307438818828
Democrats,Direction,-0.00765734749165207,0.024141173881006624,-0.055014326265023464,0.03969963128171933,0.7511467013929828
Democrats,Extra Time,-0.32144870285904864,0.13134253216467012,-0.5790992023095657,-0.0637982034085316,0.01451157603347959
Republicans,Control mean,0.9768940243394465,0.006467899070890291,0.96420490816986415,0.9895831405090288,0
Republicans,Lottery,-0.022473739012875856,0.010860407923820436,-0.04378034511231854,-0.0011671329134331741,0.038720160744783745
Republicans,Accuracy,-0.034241038396705246,0.03710730755854867,-0.10704040202159784,0.03855832522818734,0.35631149376097104
Republicans,Google,-0.04962087434599879,0.06350464868811401,-0.17420814073342533,0.07496639204142777,0.43473034966677926
Republicans,Direction,-0.01298947269032179,0.020153352656411744,-0.05252754065658186,0.026548595275938287,0.5193488403904658
Republicans,Extra Time,-0.23383255643298045,0.13090662132020314,-0.490653095389063,0.02298798252310208,0.07429996530046867
