published_table,algorithm,case,first_batch,correct,rmse_best,rmse_te,cov_best,cov_te
D.4,TS,1,100,0.9681000000000002,0.02135995777642827,0.05738448863580026,0.9583,0.7951000000000001
D.4,TS,1,190,0.9645,0.02117674566868638,0.0582005827248554,0.9583000000000002,0.7602
D.4,TS,1,280,0.9714000000000004,0.02085773385945895,0.05915309439848503,0.9635,0.7466999999999998
D.4,TS,1,370,0.9688,0.02233474964680466,0.0590747073674704,0.9580999999999996,0.755
D.4,TS,1,460,0.9672,0.02298936239932198,0.05837408920090575,0.958,0.8069999999999999
D.4,TS,1,550,0.971,0.02405106426609024,0.05477301860496111,0.9603,0.8657999999999999
D.4,TS,1,640,0.9659000000000004,0.02517687702305987,0.05188590759456175,0.9540999999999996,0.9057000000000002
D.4,TS,1,730,0.9608,0.02682994383732945,0.0482395297352204,0.953,0.9227
D.4,TS,1,820,0.9537999999999996,0.02806774096625427,0.04458243980385626,0.9484,0.9392000000000004
D.4,TS,1,910,0.9375,0.02903398563425092,0.04178327840042907,0.9448999999999996,0.9428000000000004
D.4,TS,2,100,0.19329999999999972,0.03349211329438671,0.04950631904668689,0.88,0.8509000000000004
D.4,TS,2,190,0.1995999999999998,0.03315214300596828,0.0502174025987795,0.8811,0.8344999999999999
D.4,TS,2,280,0.18850000000000008,0.03269288184043358,0.04904923040460103,0.8726000000000005,0.8336999999999998
D.4,TS,2,370,0.1882000000000007,0.03249260514524101,0.04903689527623595,0.8649000000000003,0.8188000000000003
D.4,TS,2,460,0.18639999999999984,0.03187647138506073,0.04757644711124904,0.8579999999999997,0.8286999999999998
D.4,TS,2,550,0.18529999999999985,0.03106226198938815,0.04649765525715332,0.8478000000000002,0.8273999999999996
D.4,TS,2,640,0.18759999999999968,0.03044058717867485,0.04460815081533215,0.8374000000000005,0.8520999999999999
D.4,TS,2,730,0.18419999999999984,0.02854112811786012,0.04278597138006496,0.8616000000000001,0.8752000000000003
D.4,TS,2,820,0.18790000000000015,0.02764236873964991,0.03998028255393086,0.8762999999999999,0.8979000000000001
D.4,TS,2,910,0.18490000000000056,0.02602034638052476,0.03696152587188314,0.9112999999999996,0.9261
D.4,TS,3,100,0.7146999999999999,0.02474514364637702,0.06080980341688941,0.9554999999999998,0.7958000000000001
D.4,TS,3,190,0.7099999999999996,0.02427809735070878,0.0627497388580178,0.9553,0.7629000000000001
D.4,TS,3,280,0.7020000000000004,0.02426911200554955,0.0639811833678387,0.9528,0.7456000000000004
D.4,TS,3,370,0.7061000000000006,0.02450762004290732,0.06385993488002237,0.9558,0.7614
D.4,TS,3,460,0.6903999999999998,0.02527519935332537,0.06199624395853929,0.9524999999999996,0.8165000000000001
D.4,TS,3,550,0.6932999999999996,0.02591655981168535,0.05780620443729654,0.953,0.8744
D.4,TS,3,640,0.6796999999999997,0.02680836005442909,0.05382654068213988,0.9532,0.9087000000000002
D.4,TS,3,730,0.6770000000000003,0.02720742249546413,0.04959442601196492,0.9532,0.9296999999999996
D.4,TS,3,820,0.6677,0.02846417417593618,0.04490287665947621,0.9458,0.937
D.4,TS,3,910,0.6607999999999998,0.0293624927371111,0.0408209233190973,0.9499000000000002,0.9462000000000004
D.5,CA,1,100,0.9560000000000004,0.02338363176240237,0.02932266358822316,0.9566,0.9516000000000004
D.5,CA,1,190,0.9573,0.02323851153326175,0.029137421133587,0.9551,0.9514
D.5,CA,1,280,0.955,0.02310986631103107,0.02925571616465418,0.9586,0.9519
D.5,CA,1,370,0.9565,0.02353383327848394,0.02978637568017359,0.9591,0.9549
D.5,CA,1,460,0.9588,0.02412842814961311,0.03047482144160972,0.9609000000000002,0.9591
D.5,CA,1,550,0.9593999999999998,0.02507786673217335,0.03190875409226669,0.9599,0.9528
D.5,CA,1,640,0.9513,0.02652587807255245,0.03295464258908947,0.9525999999999998,0.9552000000000002
D.5,CA,1,730,0.9482000000000002,0.02723592797560605,0.03445321923174877,0.9541,0.9535999999999994
D.5,CA,1,820,0.9406,0.02862783523312862,0.03575018125435614,0.9465,0.9469
