published_table,algorithm,case,first_batch,correct,rmse_best,rmse_te,cov_best,cov_te
D.5,CA,1,910,0.9242,0.02967243695423199,0.03682010001782305,0.9441,0.9489
D.5,CA,2,100,0.17400000000000018,0.034299514826319,0.04076995020301906,0.8793,0.8863000000000002
D.5,CA,2,190,0.17250000000000018,0.03521107272880928,0.04105182369345096,0.8695000000000006,0.8769000000000007
D.5,CA,2,280,0.17199999999999996,0.03453243033926381,0.04076522732538092,0.8600000000000002,0.8654999999999995
D.5,CA,2,370,0.17580000000000034,0.03437431837263195,0.04081968757764411,0.8535999999999999,0.8654999999999998
D.5,CA,2,460,0.17769999999999975,0.03370520019827885,0.04014153354187955,0.8401000000000003,0.8616000000000006
D.5,CA,2,550,0.1757000000000001,0.03279671751139328,0.03969354856673202,0.8291999999999999,0.8774
D.5,CA,2,640,0.17639999999999997,0.03151559924180613,0.03856229636738842,0.8354000000000001,0.8925999999999996
D.5,CA,2,730,0.18089999999999992,0.03074830325838483,0.03810218836665447,0.8463000000000003,0.9072000000000005
D.5,CA,2,820,0.17080000000000015,0.02929396403595672,0.03672257785699302,0.8788000000000009,0.9220999999999998
D.5,CA,2,910,0.1856999999999998,0.02674316783909758,0.03510633015095883,0.9138000000000002,0.9392
D.5,CA,3,100,0.6829,0.02865948447311381,0.03452476735094487,0.9464,0.9370999999999996
D.5,CA,3,190,0.6778999999999994,0.0282739350863822,0.03404026027623819,0.9433,0.9345
D.5,CA,3,280,0.6847000000000003,0.0274756741396385,0.03378196745946957,0.9491999999999998,0.9384
D.5,CA,3,370,0.6772999999999998,0.02727555527716762,0.03335184397552918,0.9491000000000002,0.9459
D.5,CA,3,460,0.6839,0.02720581727654379,0.03394875876660986,0.9488,0.9438000000000004
D.5,CA,3,550,0.6638000000000003,0.02748296760272334,0.03426405387581234,0.9471999999999996,0.941
D.5,CA,3,640,0.6649000000000004,0.02805310789742149,0.03513439407700525,0.9444,0.9418999999999996
D.5,CA,3,730,0.6659999999999998,0.02878095982173415,0.03563565973547399,0.9433999999999996,0.9442
D.5,CA,3,820,0.6461999999999998,0.02974061741770621,0.03694990284820643,0.9387,0.9446
D.5,CA,3,910,0.6523999999999999,0.03015018951963628,0.03721793304924194,0.9401,0.9482
