algorithm,case,correct,rmse_best,rmse_te_published,cov_best,cov_te_published,rmse_te_ts_only,cov_te_ts_only
TS,1,0.9681000000000002,0.02135995777642827,NA,0.9583,NA,0.05738448863580026,0.7951000000000001
TS,2,0.19329999999999972,0.03349211329438671,NA,0.88,NA,0.04950631904668689,0.8509000000000004
TS,3,0.7146999999999999,0.02474514364637702,NA,0.9554999999999998,NA,0.06080980341688941,0.7958000000000001
Static,1,0.9086,0.03057578548020312,0.03778077487367352,0.9407,0.9485000000000005,NA,NA
Static,2,0.17979999999999982,0.02392054854705499,0.03336911323814139,0.9345,0.9473,NA,NA
Static,3,0.6348999999999994,0.03072629985587587,0.03836693596694698,0.9400000000000004,0.9448,NA,NA
CA,1,0.9560000000000004,0.02338363176240237,0.02932266358822316,0.9566,0.9516000000000004,NA,NA
CA,2,0.17400000000000018,0.034299514826319,0.04076995020301906,0.8793,0.8863000000000002,NA,NA
CA,3,0.6829,0.02865948447311381,0.03452476735094487,0.9464,0.9370999999999996,NA,NA
