table_figure,algorithm,case,batches,best_arm_value,first_batch,statistic,value_paper
table_d2,CA,2,8,NA,NA,rmse_te,0.041
table_d2,CA,2,8,NA,NA,cov_best,0.878
table_d2,CA,2,8,NA,NA,cov_te,0.887
table_d2,CA,2,10,NA,NA,correct,0.174
table_d2,CA,2,10,NA,NA,rmse_best,0.034
table_d2,CA,2,10,NA,NA,rmse_te,0.041
table_d2,CA,2,10,NA,NA,cov_best,0.879
table_d2,CA,2,10,NA,NA,cov_te,0.886
table_d2,CA,2,20,NA,NA,correct,0.174
table_d2,CA,2,20,NA,NA,rmse_best,0.034
table_d2,CA,2,20,NA,NA,rmse_te,0.040
table_d2,CA,2,20,NA,NA,cov_best,0.881
table_d2,CA,2,20,NA,NA,cov_te,0.885
table_d2,CA,2,50,NA,NA,correct,0.180
table_d2,CA,2,50,NA,NA,rmse_best,0.033
table_d2,CA,2,50,NA,NA,rmse_te,0.040
table_d2,CA,2,50,NA,NA,cov_best,0.886
table_d2,CA,2,50,NA,NA,cov_te,0.890
table_d2,CA,2,100,NA,NA,correct,0.178
table_d2,CA,2,100,NA,NA,rmse_best,0.034
table_d2,CA,2,100,NA,NA,rmse_te,0.040
table_d2,CA,2,100,NA,NA,cov_best,0.885
table_d2,CA,2,100,NA,NA,cov_te,0.892
table_d2,CA,3,2,NA,NA,correct,0.665
table_d2,CA,3,2,NA,NA,rmse_best,0.027
table_d2,CA,3,2,NA,NA,rmse_te,0.036
table_d2,CA,3,2,NA,NA,cov_best,0.944
table_d2,CA,3,2,NA,NA,cov_te,0.942
table_d2,CA,3,4,NA,NA,correct,0.673
table_d2,CA,3,4,NA,NA,rmse_best,0.029
table_d2,CA,3,4,NA,NA,rmse_te,0.036
table_d2,CA,3,4,NA,NA,cov_best,0.943
table_d2,CA,3,4,NA,NA,cov_te,0.937
table_d2,CA,3,5,NA,NA,correct,0.685
table_d2,CA,3,5,NA,NA,rmse_best,0.029
table_d2,CA,3,5,NA,NA,rmse_te,0.035
table_d2,CA,3,5,NA,NA,cov_best,0.942
table_d2,CA,3,5,NA,NA,cov_te,0.932
table_d2,CA,3,8,NA,NA,correct,0.682
table_d2,CA,3,8,NA,NA,rmse_best,0.029
table_d2,CA,3,8,NA,NA,rmse_te,0.035
table_d2,CA,3,8,NA,NA,cov_best,0.943
table_d2,CA,3,8,NA,NA,cov_te,0.938
table_d2,CA,3,10,NA,NA,correct,0.683
table_d2,CA,3,10,NA,NA,rmse_best,0.029
table_d2,CA,3,10,NA,NA,rmse_te,0.035
table_d2,CA,3,10,NA,NA,cov_best,0.946
table_d2,CA,3,10,NA,NA,cov_te,0.937
table_d2,CA,3,20,NA,NA,correct,0.676
table_d2,CA,3,20,NA,NA,rmse_best,0.029
table_d2,CA,3,20,NA,NA,rmse_te,0.034
table_d2,CA,3,20,NA,NA,cov_best,0.943
table_d2,CA,3,20,NA,NA,cov_te,0.938
table_d2,CA,3,50,NA,NA,correct,0.680
table_d2,CA,3,50,NA,NA,rmse_best,0.029
table_d2,CA,3,50,NA,NA,rmse_te,0.034
table_d2,CA,3,50,NA,NA,cov_best,0.946
table_d2,CA,3,50,NA,NA,cov_te,0.941
table_d2,CA,3,100,NA,NA,correct,0.670
table_d2,CA,3,100,NA,NA,rmse_best,0.031
table_d2,CA,3,100,NA,NA,rmse_te,0.036
table_d2,CA,3,100,NA,NA,cov_best,0.941
table_d2,CA,3,100,NA,NA,cov_te,0.936
table_d3,TS,NA,NA,0.10,NA,correct,0.113
table_d3,TS,NA,NA,0.10,NA,rmse_best,0.035
table_d3,TS,NA,NA,0.10,NA,rmse_te,0.050
table_d3,TS,NA,NA,0.10,NA,cov_best,0.867
table_d3,TS,NA,NA,0.10,NA,cov_te,0.848
table_d3,TS,NA,NA,0.11,NA,correct,0.193
table_d3,TS,NA,NA,0.11,NA,rmse_best,0.033
table_d3,TS,NA,NA,0.11,NA,rmse_te,0.050
table_d3,TS,NA,NA,0.11,NA,cov_best,0.880
table_d3,TS,NA,NA,0.11,NA,cov_te,0.851
table_d3,TS,NA,NA,0.12,NA,correct,0.289
table_d3,TS,NA,NA,0.12,NA,rmse_best,0.031
table_d3,TS,NA,NA,0.12,NA,rmse_te,0.048
table_d3,TS,NA,NA,0.12,NA,cov_best,0.911
table_d3,TS,NA,NA,0.12,NA,cov_te,0.867
table_d3,TS,NA,NA,0.13,NA,correct,0.415
table_d3,TS,NA,NA,0.13,NA,rmse_best,0.030
table_d3,TS,NA,NA,0.13,NA,rmse_te,0.048
table_d3,TS,NA,NA,0.13,NA,cov_best,0.923
table_d3,TS,NA,NA,0.13,NA,cov_te,0.860
table_d3,TS,NA,NA,0.14,NA,correct,0.534
table_d3,TS,NA,NA,0.14,NA,rmse_best,0.028
table_d3,TS,NA,NA,0.14,NA,rmse_te,0.049
table_d3,TS,NA,NA,0.14,NA,cov_best,0.934
table_d3,TS,NA,NA,0.14,NA,cov_te,0.856
table_d3,TS,NA,NA,0.15,NA,correct,0.665
table_d3,TS,NA,NA,0.15,NA,rmse_best,0.026
table_d3,TS,NA,NA,0.15,NA,rmse_te,0.049
table_d3,TS,NA,NA,0.15,NA,cov_best,0.945
table_d3,TS,NA,NA,0.15,NA,cov_te,0.855
table_d3,TS,NA,NA,0.16,NA,correct,0.779
table_d3,TS,NA,NA,0.16,NA,rmse_best,0.026
table_d3,TS,NA,NA,0.16,NA,rmse_te,0.049
table_d3,TS,NA,NA,0.16,NA,cov_best,0.945
table_d3,TS,NA,NA,0.16,NA,cov_te,0.842
table_d3,TS,NA,NA,0.17,NA,correct,0.848
table_d3,TS,NA,NA,0.17,NA,rmse_best,0.024
table_d3,TS,NA,NA,0.17,NA,rmse_te,0.051
table_d3,TS,NA,NA,0.17,NA,cov_best,0.952
table_d3,TS,NA,NA,0.17,NA,cov_te,0.833
table_d3,TS,NA,NA,0.18,NA,correct,0.905
table_d3,TS,NA,NA,0.18,NA,rmse_best,0.023
table_d3,TS,NA,NA,0.18,NA,rmse_te,0.053
table_d3,TS,NA,NA,0.18,NA,cov_best,0.954
table_d3,TS,NA,NA,0.18,NA,cov_te,0.824
table_d3,TS,NA,NA,0.19,NA,correct,0.946
table_d3,TS,NA,NA,0.19,NA,rmse_best,0.022
table_d3,TS,NA,NA,0.19,NA,rmse_te,0.055
table_d3,TS,NA,NA,0.19,NA,cov_best,0.960
table_d3,TS,NA,NA,0.19,NA,cov_te,0.807
table_d3,TS,NA,NA,0.20,NA,correct,0.968
table_d3,TS,NA,NA,0.20,NA,rmse_best,0.021
table_d3,TS,NA,NA,0.20,NA,rmse_te,0.057
table_d3,TS,NA,NA,0.20,NA,cov_best,0.958
table_d3,TS,NA,NA,0.20,NA,cov_te,0.795
table_d3,Static,NA,NA,0.10,NA,correct,0.118
table_d3,Static,NA,NA,0.10,NA,rmse_best,0.023
table_d3,Static,NA,NA,0.10,NA,rmse_te,0.032
table_d3,Static,NA,NA,0.10,NA,cov_best,0.936
table_d3,Static,NA,NA,0.10,NA,cov_te,0.952
