table_figure,algorithm,case,batches,best_arm_value,first_batch,statistic,value_paper
table_d4,TS,1,NA,NA,640,cov_te,0.906
table_d4,TS,1,NA,NA,730,correct,0.961
table_d4,TS,1,NA,NA,730,rmse_best,0.027
table_d4,TS,1,NA,NA,730,rmse_te,0.048
table_d4,TS,1,NA,NA,730,cov_best,0.953
table_d4,TS,1,NA,NA,730,cov_te,0.923
table_d4,TS,1,NA,NA,820,correct,0.954
table_d4,TS,1,NA,NA,820,rmse_best,0.028
table_d4,TS,1,NA,NA,820,rmse_te,0.045
table_d4,TS,1,NA,NA,820,cov_best,0.948
table_d4,TS,1,NA,NA,820,cov_te,0.939
table_d4,TS,1,NA,NA,910,correct,0.938
table_d4,TS,1,NA,NA,910,rmse_best,0.029
table_d4,TS,1,NA,NA,910,rmse_te,0.042
table_d4,TS,1,NA,NA,910,cov_best,0.945
table_d4,TS,1,NA,NA,910,cov_te,0.943
table_d4,TS,2,NA,NA,100,correct,0.193
table_d4,TS,2,NA,NA,100,rmse_best,0.033
table_d4,TS,2,NA,NA,100,rmse_te,0.050
table_d4,TS,2,NA,NA,100,cov_best,0.880
table_d4,TS,2,NA,NA,100,cov_te,0.851
table_d4,TS,2,NA,NA,190,correct,0.200
table_d4,TS,2,NA,NA,190,rmse_best,0.033
table_d4,TS,2,NA,NA,190,rmse_te,0.050
table_d4,TS,2,NA,NA,190,cov_best,0.881
table_d4,TS,2,NA,NA,190,cov_te,0.835
table_d4,TS,2,NA,NA,280,correct,0.189
table_d4,TS,2,NA,NA,280,rmse_best,0.033
table_d4,TS,2,NA,NA,280,rmse_te,0.049
table_d4,TS,2,NA,NA,280,cov_best,0.873
table_d4,TS,2,NA,NA,280,cov_te,0.834
table_d4,TS,2,NA,NA,370,correct,0.188
table_d4,TS,2,NA,NA,370,rmse_best,0.032
table_d4,TS,2,NA,NA,370,rmse_te,0.049
table_d4,TS,2,NA,NA,370,cov_best,0.865
table_d4,TS,2,NA,NA,370,cov_te,0.819
table_d4,TS,2,NA,NA,460,correct,0.186
table_d4,TS,2,NA,NA,460,rmse_best,0.032
table_d4,TS,2,NA,NA,460,rmse_te,0.048
table_d4,TS,2,NA,NA,460,cov_best,0.858
table_d4,TS,2,NA,NA,460,cov_te,0.829
table_d4,TS,2,NA,NA,550,correct,0.185
table_d4,TS,2,NA,NA,550,rmse_best,0.031
table_d4,TS,2,NA,NA,550,rmse_te,0.046
table_d4,TS,2,NA,NA,550,cov_best,0.848
table_d4,TS,2,NA,NA,550,cov_te,0.827
table_d4,TS,2,NA,NA,640,correct,0.188
table_d4,TS,2,NA,NA,640,rmse_best,0.030
table_d4,TS,2,NA,NA,640,rmse_te,0.045
table_d4,TS,2,NA,NA,640,cov_best,0.837
table_d4,TS,2,NA,NA,640,cov_te,0.852
table_d4,TS,2,NA,NA,730,correct,0.184
table_d4,TS,2,NA,NA,730,rmse_best,0.029
table_d4,TS,2,NA,NA,730,rmse_te,0.043
table_d4,TS,2,NA,NA,730,cov_best,0.862
table_d4,TS,2,NA,NA,730,cov_te,0.875
table_d4,TS,2,NA,NA,820,correct,0.188
table_d4,TS,2,NA,NA,820,rmse_best,0.028
table_d4,TS,2,NA,NA,820,rmse_te,0.040
table_d4,TS,2,NA,NA,820,cov_best,0.876
table_d4,TS,2,NA,NA,820,cov_te,0.898
table_d4,TS,2,NA,NA,910,correct,0.185
table_d4,TS,2,NA,NA,910,rmse_best,0.026
table_d4,TS,2,NA,NA,910,rmse_te,0.037
table_d4,TS,2,NA,NA,910,cov_best,0.911
table_d4,TS,2,NA,NA,910,cov_te,0.926
table_d4,TS,3,NA,NA,100,correct,0.715
table_d4,TS,3,NA,NA,100,rmse_best,0.025
table_d4,TS,3,NA,NA,100,rmse_te,0.061
table_d4,TS,3,NA,NA,100,cov_best,0.956
table_d4,TS,3,NA,NA,100,cov_te,0.796
table_d4,TS,3,NA,NA,190,correct,0.710
table_d4,TS,3,NA,NA,190,rmse_best,0.024
table_d4,TS,3,NA,NA,190,rmse_te,0.063
table_d4,TS,3,NA,NA,190,cov_best,0.955
table_d4,TS,3,NA,NA,190,cov_te,0.763
table_d4,TS,3,NA,NA,280,correct,0.702
table_d4,TS,3,NA,NA,280,rmse_best,0.024
table_d4,TS,3,NA,NA,280,rmse_te,0.064
table_d4,TS,3,NA,NA,280,cov_best,0.953
table_d4,TS,3,NA,NA,280,cov_te,0.746
table_d4,TS,3,NA,NA,370,correct,0.706
table_d4,TS,3,NA,NA,370,rmse_best,0.025
table_d4,TS,3,NA,NA,370,rmse_te,0.064
table_d4,TS,3,NA,NA,370,cov_best,0.956
table_d4,TS,3,NA,NA,370,cov_te,0.761
table_d4,TS,3,NA,NA,460,correct,0.690
table_d4,TS,3,NA,NA,460,rmse_best,0.025
table_d4,TS,3,NA,NA,460,rmse_te,0.062
table_d4,TS,3,NA,NA,460,cov_best,0.953
table_d4,TS,3,NA,NA,460,cov_te,0.817
table_d4,TS,3,NA,NA,550,correct,0.693
table_d4,TS,3,NA,NA,550,rmse_best,0.026
table_d4,TS,3,NA,NA,550,rmse_te,0.058
table_d4,TS,3,NA,NA,550,cov_best,0.953
table_d4,TS,3,NA,NA,550,cov_te,0.874
table_d4,TS,3,NA,NA,640,correct,0.680
table_d4,TS,3,NA,NA,640,rmse_best,0.027
table_d4,TS,3,NA,NA,640,rmse_te,0.054
table_d4,TS,3,NA,NA,640,cov_best,0.953
table_d4,TS,3,NA,NA,640,cov_te,0.909
table_d4,TS,3,NA,NA,730,correct,0.677
table_d4,TS,3,NA,NA,730,rmse_best,0.027
table_d4,TS,3,NA,NA,730,rmse_te,0.050
table_d4,TS,3,NA,NA,730,cov_best,0.953
table_d4,TS,3,NA,NA,730,cov_te,0.930
table_d4,TS,3,NA,NA,820,correct,0.668
table_d4,TS,3,NA,NA,820,rmse_best,0.028
table_d4,TS,3,NA,NA,820,rmse_te,0.045
table_d4,TS,3,NA,NA,820,cov_best,0.946
table_d4,TS,3,NA,NA,820,cov_te,0.937
table_d4,TS,3,NA,NA,910,correct,0.661
table_d4,TS,3,NA,NA,910,rmse_best,0.029
table_d4,TS,3,NA,NA,910,rmse_te,0.041
table_d4,TS,3,NA,NA,910,cov_best,0.950
table_d4,TS,3,NA,NA,910,cov_te,0.946
table_d5,CA,1,NA,NA,100,correct,0.956
table_d5,CA,1,NA,NA,100,rmse_best,0.023
table_d5,CA,1,NA,NA,100,rmse_te,0.029
table_d5,CA,1,NA,NA,100,cov_best,0.957
table_d5,CA,1,NA,NA,100,cov_te,0.952
table_d5,CA,1,NA,NA,190,correct,0.957
table_d5,CA,1,NA,NA,190,rmse_best,0.023
table_d5,CA,1,NA,NA,190,rmse_te,0.029
table_d5,CA,1,NA,NA,190,cov_best,0.955
table_d5,CA,1,NA,NA,190,cov_te,0.951
table_d5,CA,1,NA,NA,280,correct,0.955
table_d5,CA,1,NA,NA,280,rmse_best,0.023
table_d5,CA,1,NA,NA,280,rmse_te,0.029
table_d5,CA,1,NA,NA,280,cov_best,0.959
table_d5,CA,1,NA,NA,280,cov_te,0.952
table_d5,CA,1,NA,NA,370,correct,0.957
table_d5,CA,1,NA,NA,370,rmse_best,0.024
table_d5,CA,1,NA,NA,370,rmse_te,0.030
table_d5,CA,1,NA,NA,370,cov_best,0.959
table_d5,CA,1,NA,NA,370,cov_te,0.955
table_d5,CA,1,NA,NA,460,correct,0.959
table_d5,CA,1,NA,NA,460,rmse_best,0.024
table_d5,CA,1,NA,NA,460,rmse_te,0.030
table_d5,CA,1,NA,NA,460,cov_best,0.961
table_d5,CA,1,NA,NA,460,cov_te,0.959
table_d5,CA,1,NA,NA,550,correct,0.959
table_d5,CA,1,NA,NA,550,rmse_best,0.025
table_d5,CA,1,NA,NA,550,rmse_te,0.032
table_d5,CA,1,NA,NA,550,cov_best,0.960
table_d5,CA,1,NA,NA,550,cov_te,0.953
table_d5,CA,1,NA,NA,640,correct,0.951
table_d5,CA,1,NA,NA,640,rmse_best,0.027
table_d5,CA,1,NA,NA,640,rmse_te,0.033
table_d5,CA,1,NA,NA,640,cov_best,0.953
table_d5,CA,1,NA,NA,640,cov_te,0.955
table_d5,CA,1,NA,NA,730,correct,0.948
table_d5,CA,1,NA,NA,730,rmse_best,0.027
table_d5,CA,1,NA,NA,730,rmse_te,0.034
table_d5,CA,1,NA,NA,730,cov_best,0.954
table_d5,CA,1,NA,NA,730,cov_te,0.954
table_d5,CA,1,NA,NA,820,correct,0.941
table_d5,CA,1,NA,NA,820,rmse_best,0.029
table_d5,CA,1,NA,NA,820,rmse_te,0.036
table_d5,CA,1,NA,NA,820,cov_best,0.947
table_d5,CA,1,NA,NA,820,cov_te,0.947
table_d5,CA,1,NA,NA,910,correct,0.924
table_d5,CA,1,NA,NA,910,rmse_best,0.030
table_d5,CA,1,NA,NA,910,rmse_te,0.037
table_d5,CA,1,NA,NA,910,cov_best,0.944
table_d5,CA,1,NA,NA,910,cov_te,0.949
table_d5,CA,2,NA,NA,100,correct,0.174
table_d5,CA,2,NA,NA,100,rmse_best,0.034
table_d5,CA,2,NA,NA,100,rmse_te,0.041
table_d5,CA,2,NA,NA,100,cov_best,0.879
table_d5,CA,2,NA,NA,100,cov_te,0.886
table_d5,CA,2,NA,NA,190,correct,0.173
table_d5,CA,2,NA,NA,190,rmse_best,0.035
table_d5,CA,2,NA,NA,190,rmse_te,0.041
table_d5,CA,2,NA,NA,190,cov_best,0.870
table_d5,CA,2,NA,NA,190,cov_te,0.877
table_d5,CA,2,NA,NA,280,correct,0.172
table_d5,CA,2,NA,NA,280,rmse_best,0.035
table_d5,CA,2,NA,NA,280,rmse_te,0.041
table_d5,CA,2,NA,NA,280,cov_best,0.860
table_d5,CA,2,NA,NA,280,cov_te,0.866
table_d5,CA,2,NA,NA,370,correct,0.176
table_d5,CA,2,NA,NA,370,rmse_best,0.034
table_d5,CA,2,NA,NA,370,rmse_te,0.041
table_d5,CA,2,NA,NA,370,cov_best,0.854
table_d5,CA,2,NA,NA,370,cov_te,0.866
table_d5,CA,2,NA,NA,460,correct,0.178
table_d5,CA,2,NA,NA,460,rmse_best,0.034
table_d5,CA,2,NA,NA,460,rmse_te,0.040
table_d5,CA,2,NA,NA,460,cov_best,0.840
table_d5,CA,2,NA,NA,460,cov_te,0.862
table_d5,CA,2,NA,NA,550,correct,0.176
table_d5,CA,2,NA,NA,550,rmse_best,0.033
table_d5,CA,2,NA,NA,550,rmse_te,0.040
table_d5,CA,2,NA,NA,550,cov_best,0.829
table_d5,CA,2,NA,NA,550,cov_te,0.877
table_d5,CA,2,NA,NA,640,correct,0.176
table_d5,CA,2,NA,NA,640,rmse_best,0.032
table_d5,CA,2,NA,NA,640,rmse_te,0.039
table_d5,CA,2,NA,NA,640,cov_best,0.835
table_d5,CA,2,NA,NA,640,cov_te,0.893
table_d5,CA,2,NA,NA,730,correct,0.181
table_d5,CA,2,NA,NA,730,rmse_best,0.031
table_d5,CA,2,NA,NA,730,rmse_te,0.038
table_d5,CA,2,NA,NA,730,cov_best,0.846
table_d5,CA,2,NA,NA,730,cov_te,0.907
table_d5,CA,2,NA,NA,820,correct,0.171
table_d5,CA,2,NA,NA,820,rmse_best,0.029
table_d5,CA,2,NA,NA,820,rmse_te,0.037
table_d5,CA,2,NA,NA,820,cov_best,0.879
table_d5,CA,2,NA,NA,820,cov_te,0.922
table_d5,CA,2,NA,NA,910,correct,0.186
table_d5,CA,2,NA,NA,910,rmse_best,0.027
table_d5,CA,2,NA,NA,910,rmse_te,0.035
table_d5,CA,2,NA,NA,910,cov_best,0.914
table_d5,CA,2,NA,NA,910,cov_te,0.939
table_d5,CA,3,NA,NA,100,correct,0.683
table_d5,CA,3,NA,NA,100,rmse_best,0.029
table_d5,CA,3,NA,NA,100,rmse_te,0.035
table_d5,CA,3,NA,NA,100,cov_best,0.946
table_d5,CA,3,NA,NA,100,cov_te,0.937
table_d5,CA,3,NA,NA,190,correct,0.678
table_d5,CA,3,NA,NA,190,rmse_best,0.028
table_d5,CA,3,NA,NA,190,rmse_te,0.034
table_d5,CA,3,NA,NA,190,cov_best,0.943
table_d5,CA,3,NA,NA,190,cov_te,0.935
table_d5,CA,3,NA,NA,280,correct,0.685
table_d5,CA,3,NA,NA,280,rmse_best,0.027
table_d5,CA,3,NA,NA,280,rmse_te,0.034
table_d5,CA,3,NA,NA,280,cov_best,0.949
table_d5,CA,3,NA,NA,280,cov_te,0.938
table_d5,CA,3,NA,NA,370,correct,0.677
table_d5,CA,3,NA,NA,370,rmse_best,0.027
table_d5,CA,3,NA,NA,370,rmse_te,0.033
table_d5,CA,3,NA,NA,370,cov_best,0.949
table_d5,CA,3,NA,NA,370,cov_te,0.946
table_d5,CA,3,NA,NA,460,correct,0.684
table_d5,CA,3,NA,NA,460,rmse_best,0.027
table_d5,CA,3,NA,NA,460,rmse_te,0.034
table_d5,CA,3,NA,NA,460,cov_best,0.949
table_d5,CA,3,NA,NA,460,cov_te,0.944
table_d5,CA,3,NA,NA,550,correct,0.664
table_d5,CA,3,NA,NA,550,rmse_best,0.027
table_d5,CA,3,NA,NA,550,rmse_te,0.034
table_d5,CA,3,NA,NA,550,cov_best,0.947
table_d5,CA,3,NA,NA,550,cov_te,0.941
table_d5,CA,3,NA,NA,640,correct,0.665
table_d5,CA,3,NA,NA,640,rmse_best,0.028
table_d5,CA,3,NA,NA,640,rmse_te,0.035
table_d5,CA,3,NA,NA,640,cov_best,0.944
table_d5,CA,3,NA,NA,640,cov_te,0.942
table_d5,CA,3,NA,NA,730,correct,0.666
table_d5,CA,3,NA,NA,730,rmse_best,0.029
table_d5,CA,3,NA,NA,730,rmse_te,0.036
table_d5,CA,3,NA,NA,730,cov_best,0.943
table_d5,CA,3,NA,NA,730,cov_te,0.944
table_d5,CA,3,NA,NA,820,correct,0.646
table_d5,CA,3,NA,NA,820,rmse_best,0.030
table_d5,CA,3,NA,NA,820,rmse_te,0.037
table_d5,CA,3,NA,NA,820,cov_best,0.939
table_d5,CA,3,NA,NA,820,cov_te,0.945
table_d5,CA,3,NA,NA,910,correct,0.652
table_d5,CA,3,NA,NA,910,rmse_best,0.030
table_d5,CA,3,NA,NA,910,rmse_te,0.037
table_d5,CA,3,NA,NA,910,cov_best,0.940
table_d5,CA,3,NA,NA,910,cov_te,0.948
