table_figure,source_block,algorithm,topic,study,arm,case,batches,first_batch,best_arm_value_hundredths,statistic,value_script
table_d4,table_d4,TS,NA,NA,NA,1,NA,100,NA,correct,0.968
table_d4,table_d4,TS,NA,NA,NA,1,NA,100,NA,rmse_best,0.0214
table_d4,table_d4,TS,NA,NA,NA,1,NA,100,NA,rmse_te,0.0574
table_d4,table_d4,TS,NA,NA,NA,1,NA,100,NA,cov_best,0.958
table_d4,table_d4,TS,NA,NA,NA,1,NA,100,NA,cov_te,0.795
table_d4,table_d4,TS,NA,NA,NA,1,NA,190,NA,correct,0.964
table_d4,table_d4,TS,NA,NA,NA,1,NA,190,NA,rmse_best,0.0212
table_d4,table_d4,TS,NA,NA,NA,1,NA,190,NA,rmse_te,0.0582
table_d4,table_d4,TS,NA,NA,NA,1,NA,190,NA,cov_best,0.958
table_d4,table_d4,TS,NA,NA,NA,1,NA,190,NA,cov_te,0.760
table_d4,table_d4,TS,NA,NA,NA,1,NA,280,NA,correct,0.971
table_d4,table_d4,TS,NA,NA,NA,1,NA,280,NA,rmse_best,0.0209
table_d4,table_d4,TS,NA,NA,NA,1,NA,280,NA,rmse_te,0.0592
table_d4,table_d4,TS,NA,NA,NA,1,NA,280,NA,cov_best,0.964
table_d4,table_d4,TS,NA,NA,NA,1,NA,280,NA,cov_te,0.747
table_d4,table_d4,TS,NA,NA,NA,1,NA,370,NA,correct,0.969
table_d4,table_d4,TS,NA,NA,NA,1,NA,370,NA,rmse_best,0.0223
table_d4,table_d4,TS,NA,NA,NA,1,NA,370,NA,rmse_te,0.0591
table_d4,table_d4,TS,NA,NA,NA,1,NA,370,NA,cov_best,0.958
table_d4,table_d4,TS,NA,NA,NA,1,NA,370,NA,cov_te,0.755
table_d4,table_d4,TS,NA,NA,NA,1,NA,460,NA,correct,0.967
table_d4,table_d4,TS,NA,NA,NA,1,NA,460,NA,rmse_best,0.0230
table_d4,table_d4,TS,NA,NA,NA,1,NA,460,NA,rmse_te,0.0584
table_d4,table_d4,TS,NA,NA,NA,1,NA,460,NA,cov_best,0.958
table_d4,table_d4,TS,NA,NA,NA,1,NA,460,NA,cov_te,0.807
table_d4,table_d4,TS,NA,NA,NA,1,NA,550,NA,correct,0.971
table_d4,table_d4,TS,NA,NA,NA,1,NA,550,NA,rmse_best,0.0241
table_d4,table_d4,TS,NA,NA,NA,1,NA,550,NA,rmse_te,0.0548
table_d4,table_d4,TS,NA,NA,NA,1,NA,550,NA,cov_best,0.960
table_d4,table_d4,TS,NA,NA,NA,1,NA,550,NA,cov_te,0.866
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,10,correct,0.113
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,10,rmse_best,0.0346
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,10,rmse_te,0.0503
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,10,cov_best,0.867
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,10,cov_te,0.848
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,11,correct,0.193
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,11,rmse_best,0.0335
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,11,rmse_te,0.0495
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,11,cov_best,0.88
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,11,cov_te,0.851
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,12,correct,0.289
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,12,rmse_best,0.0311
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,12,rmse_te,0.0483
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,12,cov_best,0.911
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,12,cov_te,0.867
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,13,correct,0.414
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,13,rmse_best,0.0297
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,13,rmse_te,0.0484
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,13,cov_best,0.923
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,13,cov_te,0.859
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,14,correct,0.534
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,14,rmse_best,0.0284
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,14,rmse_te,0.0491
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,14,cov_best,0.934
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,14,cov_te,0.856
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,15,correct,0.665
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,15,rmse_best,0.0263
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,15,rmse_te,0.0487
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,15,cov_best,0.945
table_d3,table_d3,TS,NA,NA,NA,NA,NA,NA,15,cov_te,0.855
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 1 (CA),NA,NA,NA,NA,n,29
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 1 (BM),NA,NA,NA,NA,n,46
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 2 (CA),NA,NA,NA,NA,n,29
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 2 (BM),NA,NA,NA,NA,n,50
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 3 (CA),NA,NA,NA,NA,n,22
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 3 (BM),NA,NA,NA,NA,n,21
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 4 (CA),NA,NA,NA,NA,n,82
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 4 (BM),NA,NA,NA,NA,n,721
